Pair ID,Original Terms,Inclusive Terms,Original Terms (Kannada),Inclusive Terms (Kannada)
46,ladyboys,genderqueer people,ಸ್ತ್ರೀಸ್ವಭಾವದ ಹುಡುಗರು,ಲಿಂಗಾತೀತ ವ್ಯಕ್ತಿಗಳು
47,nancyboy,nancy,ಮೃದುಸ್ವಭಾವದ ಹುಡುಗ,ಮೃದುಸ್ವಭಾವದ ವ್ಯಕ್ತಿ
48,nancyboys,nancies,ಮೃದುಸ್ವಭಾವದ ಹುಡುಗರು,ಮೃದುಸ್ವಭಾವದ ಜನರು
49,newsboy,newspaper delivery person,ಪತ್ರಿಕೆ ವಿತರಣಾ ಹುಡುಗ,ಪತ್ರಿಕೆ ವಿತರಣಾ ವ್ಯಕ್ತಿ
50,newsboys,newspaper delivery people,ಪತ್ರಿಕೆ ವಿತರಣಾ ಹುಡುಗರು,ಪತ್ರಿಕೆ ವಿತರಣಾ ಜನರು
51,paperboy,newspaper delivery person,ಪತ್ರಿಕೆ ವಿತರಣಾ ಹುಡುಗ,ಪತ್ರಿಕೆ ವಿತರಣಾ ವ್ಯಕ್ತಿ
52,paperboys,newspaper delivery people,ಪತ್ರಿಕೆ ವಿತರಣಾ ಹುಡುಗರು,ಪತ್ರಿಕೆ ವಿತರಣಾ ಜನರು
53,playboy,player,ಪ್ಲೇಬಾಯ್,ಆಟಗಾರ
54,playboys,players,ಪ್ಲೇಬಾಯ್ಸ್,ಆಟಗಾರರು
55,plowboy,plower,ಉಳುವ ಹುಡುಗ,ಉಳುಮೆಗಾರ
56,plowboys,plowers,ಉಳುವ ಹುಡುಗರು,ಉಳುಮೆಗಾರರು
57,tomboy,boisterous child,ಟಾಮ್ಬಾಯ್,ಗದ್ದಲದ ಮಗು
58,tomboys,boisterous children,ದಿಟ್ಟ ಹುಡುಗರು,ಚಂಚಲ ಮಕ್ಕಳು
59,toyboy,toy,ಆಟಿಕೆ ವ್ಯಕ್ತಿ,ಆಟಿಕೆ
60,toyboys,toys,ಆಟಿಕೆ ಹುಡುಗರು,ಆಟಿಕೆ ಜನರು
61,babygirl,baby,ಹೆಣ್ಣುಮಗು,ಮಗು
62,babygirls,babies,ಹೆಣ್ಣುಮಕ್ಕಳು,ಮಕ್ಕಳು
63,ballgirl,ball person,ಚೆಂಡು ಹುಡುಗಿ,ಚೆಂಡು ವ್ಯಕ್ತಿ
64,ballgirls,ball people,ಚೆಂಡು ಹುಡುಗಿಯರು,ಚೆಂಡು ಜನರು
65,bargirl,bartender,ಬಾರ್ ಹುಡುಗಿ,ಬಾರ್ಟೆಂಡರ್
66,bargirls,bartenders,ಬಾರ್ ಹುಡುಗಿಯರು,ಬಾರ್ ಸ್ಟಾಫ್
67,callgirl,sex worker,ಸ್ತ್ರೀ ವೇಶ್ಯೆ.,ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತೆ
68,callgirls,sex workers,ಸ್ತ್ರೀ ವೇಶ್ಯೆ.ಯರು,ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತರು
69,cavegirl,caveperson,ಗುಹಾನಿವಾಸಿನಿ,ಗುಹಾನಿವಾಸಿ
70,cavegirls,cavepeople,ಗುಹಾನಿವಾಸಿನಿಯರು,ಗುಹೆಯ ಜನರು
71,cowgirl,cow herder,ದನಗಾಹಿ ಹೆಣ್ಣು,ಹಸು ಮೇಯಿಸುವವ
72,cowgirls,cow herders,ದನಗಾಹಿ ಹೆಣ್ಣುಮಕ್ಕಳು,ಹಸು ಮೇಯಿಸುವವರು
73,fangirl,fan,ಅಭಿಮಾನಿ ಹುಡುಗಿ,ಅಭಿಮಾನಿ
74,fangirls,fans,ಅಭಿಮಾನಿ ಹುಡುಗಿಯರು,ಅಭಿಮಾನಿಗಳು
75,farmgirl,farm worker,ಕೃಷಿಕಿ,ಕೃಷಿ ಕೆಲಸಗಾರ
76,farmgirls,farm workers,ಕೃಷಿಕಿಯರು,ಕೃಷಿ ಕೆಲಸಗಾರರು
77,girldom,feminine sphere,ಹುಡುಗಿಯತನ,ಬಾಲ್ಯ
78,girldoms,feminine spheres,ಹೆಣ್ಣುಮಕ್ಕಳು,ಸ್ತ್ರೀಲಿಂಗ ಗೋಳಗಳು
79,girlfag,woman attracted to gay men,ಗೇ ಪುರುಷರನ್ನು ಇಷ್ಟಪಡುವ ಮಹಿಳೆ,ಸಲಿಂಗಕಾಮಿ ಪುರುಷರಿಂದ ಆಕರ್ಷಿತಳಾದ ಮಹಿಳೆ
80,girlfags,women attracted to gay men,ಗೇ ಪುರುಷರನ್ನು ಇಷ್ಟಪಡುವ ಮಹಿಳೆಯರು,ಸಲಿಂಗಕಾಮಿ ಪುರುಷರಿಂದ ಆಕರ್ಷಿತಳಾದ ಮಹಿಳೆಯರು
81,girlfight,fight,ಹುಡುಗಿಯರ ಜಗಳ,ಜಗಳ
82,girlfights,fights,ಹುಡುಗಿಯರ ಜಗಳಗಳು,ಜಗಳಗಳು
83,girlfriend,partner,ಗೆಳತಿ,ಸಂಗಾತಿ
84,girlfriends,partners,ಗೆಳತಿಯರು,ಸಂಗಾತಿಗಳು
85,girlification,feminization,ಸ್ತ್ರೀಕರಣ,ಸ್ತ್ರೀಕರಣ
86,girlifications,feminizations,ಸ್ತ್ರೀೀಕರಣಗಳು,ಸ್ತ್ರೀೀಕರಣಗಳು
87,girliness,femininity,ಹೆಣ್ಣುತನ,ಬಾಲಿಶ
88,girlinesses,femininities,ಹೆಣ್ಣುತನಗಳು,ಸ್ತ್ರೀತ್ವಗಳು
89,girlish,feminine,ಹುಡುಗಿಯನಂಥ,ಬಾಲಿಶತನ
90,girlishly,childishly,ಹುಡುಗಾಟಿಕೆಯಿಂದ,ಬಾಲಿಶವಾಗಿ
91,girllove,love,ಹುಡುಗಿಯ ಪ್ರೀತಿ,ಪ್ರೀತಿ
92,girlloves,loves,ಹುಡುಗಿಯ ಪ್ರೀತಿ,ಪ್ರೀತಿ
93,girlpower,power,ಮಹಿಳಾ ಪ್ರಬಲತೆ,ಸಾಮರ್ಥ್ಯ 
94,girlpowers,powers,ಮಹಿಳಾ ಪ್ರಬಲತೆಗಳು,ಸಾಮರ್ಥ್ಯಗಳು
95,papergirl,newspaper delivery person,ಪತ್ರಿಕೆ ವಿತರಣಾ ಹುಡುಗಿ,ಪತ್ರಿಕೆ ವಿತರಣಾ ವ್ಯಕ್ತಿ
96,papergirls,newspaper delivery people,ಪತ್ರಿಕೆ ವಿತರಣಾ ಹುಡುಗಿಯರು,ಪತ್ರಿಕೆ ವಿತರಣಾ ಜನರು
97,playgirl,player,ಆಟದ ಹುಡುಗಿ,ಆಟಗಾರ
98,playgirls,players,ಆಟದ ಹುಡುಗಿಯರು,ಆಟಗಾರರು
99,showgirl,performer,ಪ್ರದರ್ಶನಗಾರ್ತಿ,ಪ್ರದರ್ಶಕ
100,showgirls,performers,ಪ್ರದರ್ಶನಗಾರ್ತಿ ಹುಡುಗಿಯರು,ಪ್ರದರ್ಶಕರು
101,slavegirl,slave,ಗುಲಾಮ ಹುಡುಗಿ,ಗುಲಾಮ
102,slavegirls,slaves,ಗುಲಾಮ ಹುಡುಗಿಯರು,ಗುಲಾಮರು
103,snowgirl,snowperson,ಹಿಮಕನ್ಯೆ,ಹಿಮ ವ್ಯಕ್ತಿ
104,snowgirls,snowpeople,ಹಿಮಕನ್ಯೆಯರು,ಹಿಮ ಜನರು
105,tomgirl,timid child,ದಿಟ್ಟ ಹುಡುಗಿ,ದಿಟ್ಟ ವ್ಯಕ್ತಿ
106,tomgirls,timid children,ದಿಟ್ಟ ಹುಡುಗಿಯರು,ದಿಟ್ಟ ಜನರು
107,adman,advertiser,ಜಾಹೀರಾತುಗಾರ,ಜಾಹೀರಾತುಗಾರ
108,admen,advertisers,ಜಾಹೀರಾತುಗಾರರು,ಜಾಹೀರಾತುಗಾರರು
109,almsman,medical social worker,ದಾನಿ ಪುರುಷ,ದಾನಿ
110,almsmen,medical social workers,ದಾನಿ ಪುರುಷರು,ದಾನಿ
111,ambulanceman,emergency medical technician,ಆಂಬ್ಯುಲೆನ್ಸ್ ಪುರುಷ,ಆಂಬ್ಯುಲೆನ್ಸ್ ಸಿಬ್ಬಂದಿ
112,ambulancemen,emergency medical technicians,ಆಂಬ್ಯುಲೆನ್ಸ್ ಪುರುಷರು,ಆಂಬ್ಯುಲೆನ್ಸ್ ಸಿಬ್ಬಂದಿಗಳು
113,anchorman,anchorperson,ಸುದ್ದಿ ನಿರೂಪಕ,ಸುದ್ದಿ ನಿರೂಪಕ
114,anchormen,anchorpeople,ಸುದ್ದಿ ನಿರೂಪಕರು,ಸುದ್ದಿ ನಿರೂಪಕರು
115,artilleryman,cannoneer,ಆರ್ಟಿಲರಿ ಸೈನಿಕ,ಆರ್ಟಿಲರಿ ಸೈನಿಕ
116,artillerymen,cannoneers,ಆರ್ಟಿಲರಿ ಸೈನಿಕರು,ಆರ್ಟಿಲರಿ ಸೈನಿಕರು
117,assemblyman,assembly member,ವಿಧಾನಸಭೆ ಸದಸ್ಯ,ವಿಧಾನಸಭೆ ಸದಸ್ಯ
118,assemblymen,assembly members,ವಿಧಾನಸಭೆ ಸದಸ್ಯರು,ವಿಧಾನಸಭೆ ಸದಸ್ಯರು
119,assman,assperson,ಮೂರ್ಖ ವ್ಯಕ್ತಿ,ಸಹಾಯಕ ವ್ಯಕ್ತಿ
120,assmen,asspeople,ಮೂರ್ಖ ವ್ಯಕ್ತಿಗಳು,ಸಹಾಯಕ ವ್ಯಕ್ತಿಗಳು
121,backwoodsman,explorer,ಅರಣ್ಯ ಅನ್ವೇಷಕನು,ಅನ್ವೇಷಕ
122,backwoodsmen,explorers,ಪುರುಷ ಅರಣ್ಯ ಅನ್ವೇಷಕರು,ಅರಣ್ಯ ಅನ್ವೇಷಕರು
123,bagman,travelling salesperson,ದೋಣಿ ಚಾಲಕ,ಪ್ರವಾಸಿ ಮಾರಾಟಗಾರ
124,bagmen,travelling salespeople, ಪ್ರವಾಸಿ ಮಾರಾಟಗಾರರು,ಪ್ರಯಾಣಿಸುವ ಮಾರಾಟಗಾರರು
125,bargeman,barge operator,ಪುರುಷ ಬಾರ್ಜ್ ನೌಕರ,ಬಾರ್ಜ್ ನೌಕರ
126,bargemen,barge operators,ಪುರುಷ ಬಾರ್ಜ್ ನೌಕರರು,ಬಾರ್ಜ್ ನೌಕರರು
127,barman,bartender,ಪುರುಷ ಬಾರ್ ಸಿಬ್ಬಂದಿ ,ಬಾರ್ ಸಿಬ್ಬಂದಿ 
128,barmen,bartenders,ಪುರುಷ ಬಾರ್ ಸಿಬ್ಬಂದಿಗಳು,ಬಾರ್ ಸಿಬ್ಬಂದಿಗಳು
129,baseman,baseperson,ಮೂಲ ಸ್ಥಾನದ ಆಟಗಾರ,ಬೇಸ್ ಆಟಗಾರ
130,basemen,basepeople,ಮೂಲ ಸ್ಥಾನದ ಆಟಗಾರರು,ಬೇಸ್ ಆಟಗಾರರು
131,batsman,batter,ಬ್ಯಾಟ್ಸ್‌ಮನ್,ಬ್ಯಾಟರ್
132,batsmen,batters,ಬ್ಯಾಟ್ಸ್‌ಮನ್‌ಗಳು,ಬ್ಯಾಟ್ಸ್ರ್
133,bellman,bellhop,ಪುರುಷ ಹೋಟೆಲ್ ಸಹಾಯಕ ,ಹೋಟೆಲ್ ಸಹಾಯಕ 
134,bellmen,bellhops,ಪುರುಷ ಹೋಟೆಲ್ ಸಹಾಯಕರು,ಹೋಟೆಲ್ ಸಹಾಯಕರು
135,binman,garbage collector, ಕಸ ಸಂಗ್ರಾಹಕ,ಕಸ ಸಂಗ್ರಾಹಕ
136,binmen,garbage collectors, ಕಸ ಸಂಗ್ರಾಹಕರು,ಕಸ ಸಂಗ್ರಾಹಕರು
137,bluesman,bluesperson,ಬ್ಲೂಸ್ ಗಾಯಕ,ಬ್ಲೂಸ್ ಸಂಗೀತಗಾರ
138,bluesmen,bluespeople,ಬ್ಲೂಸ್ ಗಾಯಕರು,ಬ್ಲೂಸ್ ಸಂಗೀತಗಾರರು
139,boatman,boater,ದೋಣಿ ನಡೆಸುವವನು,ಅಂಬಿಗ
140,boatmen,boaters,ದೋಣಿ ನಡೆಸುವವರು,ಅಂಬಿಗರು
141,bogeyman,monster,ಭಯಾನಕ ವ್ಯಕ್ತಿ,ರಾಕ್ಷಸ
142,bogeymen,monsters,ಭಯಾನಕ ವ್ಯಕ್ತಿಗಳು,ರಾಕ್ಷಸರು
143,bondman,slave,ದಾಳಲು,ಗುಲಾಮ
144,bondmen,slaves,ದಾಳಲುಗಳು,ಗುಲಾಮರು
145,bondsman,slave,ಬಂಧಕದಾರ,ಗುಲಾಮ
146,bondsmen,slaves,ಬಂಧಕದಾರರು,ಗುಲಾಮರು
147,boogieman,monster,ಪಿಶಾಚಿ,ರಾಕ್ಷಸ
148,boogiemen,monsters,ಪಿಶಾಚಿಗಳು,ರಾಕ್ಷಸರು
149,bowman,archer,ಬಿಲ್ಲುಗಾರ,ಬಿಲ್ಲುಗಾರ
150,bowmen,archers,ಬಿಲ್ಲುಗಾರರು,ಬಿಲ್ಲುಗಾರರು
151,bushman,indigenous person,ಕಾಡು ನಿವಾಸಿ,ಮೂಲ ನಿವಾಸಿ
152,bushmen,indigenous people,ಕಾಡು ನಿವಾಸಿಗಳು,ಮೂಲ ನಿವಾಸಿಗಳು
153,businessman,businessperson,ಉದ್ಯಮಿ,ವ್ಯವಹಾರಸ್ಥ
154,businessmen,businesspeople,ಉದ್ಯಮಿಗಳು,ವ್ಯವಹಾರಸ್ಥರು
155,busman,bus driver, ಬಸ್ ಚಾಲಕ,ಬಸ್ ಚಾಲಕ
156,busmen,bus drivers, ಬಸ್ ಚಾಲಕರು,ಬಸ್ ಚಾಲಕರು
157,cabman,cabdriver, ಕ್ಯಾಬ್‌ ಚಾಲಕ,ಕ್ಯಾಬ್‌ ಚಾಲಕ
158,cabmen,cabdrivers, ಕ್ಯಾಬ್‌ ಚಾಲಕರು,ಕ್ಯಾಬ್‌ ಚಾಲಕರು
159,cameraman,cameraperson, ಛಾಯಾಗ್ರಾಹಕ,ಛಾಯಾಗ್ರಾಹಕ
160,cameramen,camerapeople, ಛಾಯಾಗ್ರಾಹಕರು,ಛಾಯಾಗ್ರಾಹಕರು
161,cavalryman,trooper, ಅಶ್ವಸೈನಿಕ,ಅಶ್ವಸೈನಿಕ
162,cavalrymen,troopers, ಅಶ್ವಸೈನಿಕರು,ಅಶ್ವಸೈನಿಕರು
163,caveman,caveperson, ಗುಹಾನಿವಾಸಿ,ಗುಹಾನಿವಾಸಿ
164,cavemen,cavepeople, ಗುಹಾನಿವಾಸಿಗಳು,ಗುಹಾನಿವಾಸಿಗಳು
165,centerman,center,ಕೇಂದ್ರಸ್ಥ  ,ಕೇಂದ್ರಸ್ಥ ವ್ಯಕ್ತಿ
166,centermen,centers,ಕೇಂದ್ರಸ್ಥರು,ಕೇಂದ್ರಸ್ಥ ಜನರು
167,centreman,centre,centreman,ಕೇಂದ್ರ
168,centremen,centres,ಕೇಂದ್ರದವರು,ಕೇಂದ್ರಗಳು
169,chessman,chess figure, ಚದುರಂಗ ಆಟಗಾರ,ಚದುರಂಗದ ಆಟಗಾರ
170,chessmen,chess figures, ಚದುರಂಗ ಆಟಗಾರರು,ಚದುರಂಗದ ಆಟಗಾರರು
171,churchman,cleric,ಚರ್ಚಿನವನು,ಧರ್ಮಗುರು
172,churchmen,clerics,ಚರ್ಚಿನವರು,ಧರ್ಮಗುರುಗಳು
173,clansman,clan member,ಕುಲಪತಿ,ಕುಲದ ಸದಸ್ಯ
174,clansmen,clan members,ಕುಲದವರು,ಕುಲದ ಸದಸ್ಯರು
175,classman,classmate,ವರ್ಗದವನು,ಸಹಪಾಠಿ
176,classmen,classmates,ವರ್ಗದವರು,ಸಹಪಾಠಿಗಳು
177,coachman,coach driver,ತರಬೇತುದಾರ,ತರಬೇತುದಾರ ಚಾಲಕ
178,coachmen,coach drivers,ತರಬೇತುದಾರರು,ತರಬೇತುದಾರರ ಚಾಲಕರು
179,cocksman,sexually talented person,ಹುಂಜ,ಲೈಂಗಿಕವಾಗಿ ಪ್ರತಿಭಾವಂತ ವ್ಯಕ್ತಿ
180,cocksmen,sexually talented people,ಹುಂಜಗಳು,ಲೈಂಗಿಕವಾಗಿ ಪ್ರತಿಭಾವಂತ ಜನರು
181,con-man,con artist,ವಂಚಕ,ಕಾನ್ ಕಲಾವಿದ
182,con-men,con artists,ವಂಚಕರು,ಕಾನ್ ಕಲಾವಿದರು
183,congressman,congressperson,ಕಾಂಗ್ರೆಸ್ಸಿನ ಸದಸ್ಯ,ಕಾಂಗ್ರೆಸ್ಸಿನ ಪ್ರತಿನಿಧಿ
184,congressmen,congresspeople,ಕಾಂಗ್ರೆಸ್ಸಿಗರು,ಕಾಂಗ್ರೆಸ್ಸಿಗರು
185,conman,con artist,ವಂಚಕ,ಕಾನ್ ಕಲಾವಿದ
186,conmen,con artists,ವಂಚಕರು,ಕಾನ್ ಕಲಾವಿದರು
187,cornerman,second,ಮೂಲೆಗುಂಪು,ಎರಡನೆಯದು
188,cornermen,seconds,ಮೂಲೆಯವರು,ಸೆಕೆಂಡುಗಳು
189,cornishman,Cornish person,ಕೋರ್ನ್‌ವಾಲ್‌ನವನು,ಕಾರ್ನಿಶ್ ವ್ಯಕ್ತಿ
190,cornishmen,Cornish people,ಕೋರ್ನ್‌ವಾಲ್‌ನವರು,ಕಾರ್ನಿಷ್ ಜನರು
191,corpsman,medical assistant,ದಳದವನು,ವೈದ್ಯಕೀಯ ಸಹಾಯಕ
192,corpsmen,medical assistants,ದಳದವರು,ವೈದ್ಯಕೀಯ ಸಹಾಯಕರು
193,counterman,counterperson,ಕೌಂಟರ್ ಸಿಬ್ಬಂದಿ,ಕೌಂಟರ್ ಸಿಬ್ಬಂದಿ ಸದಸ್ಯ
194,countermen,counterpeople,ಕೌಂಟರ್ಮೆನ್,ಕೌಂಟರ್ ಜನರು
195,craftsman,craftsperson,ಕುಶಲಕರ್ಮಿ,ಕುಶಲಕರ್ಮಿ
196,craftsmen,craftspeople,ಕುಶಲಕರ್ಮಿಗಳು,ಕುಶಲಕರ್ಮಿಗಳು
197,crewman,crew member,ಸಿಬ್ಬಂದಿ,ಸಿಬ್ಬಂದಿ ಸದಸ್ಯ
198,crewmen,crew members,ಸಿಬ್ಬಂದಿಗಳು,ಸಿಬ್ಬಂದಿ ಸದಸ್ಯರು
199,crossbowman,arbalist,ಅಡ್ಡಬಿಲ್ಲುಗಾರ,ಅರ್ಬಲಿಸ್ಟ್
200,crossbowmen,arbalists,ಅಡ್ಡಬಿಲ್ಲುಗಾರರು,arbalists
201,cutman,medical attendant,ಗಾಯ ಚಿಕಿತ್ಸೆ ಸಹಾಯಕ,ವೈದ್ಯಕೀಯ ಪರಿಚಾರಕ
202,cutmen,medical attendants,ಗಾಯ ಚಿಕಿತ್ಸೆ ಸಹಾಯಕರು,ವೈದ್ಯಕೀಯ ಪರಿಚಾರಕರು
203,dairyman,dairy worker,ಹೈನುಗಾರ,ಡೈರಿ ಕೆಲಸಗಾರ
204,dairymen,dairy workers,ಹೈನುಗಾರರು,ಡೈರಿ ಕೆಲಸಗಾರರು
205,deadman,corpse,ಸತ್ತವನ ದೇಹ,ಶವ
206,deadmen,corpses,ಸತ್ತವರ ದೇಹಗಳು,ಶವಗಳು
207,defenceman,defender,ರಕ್ಷಣಾಧಿಕಾರಿ,ರಕ್ಷಕ
208,defencemen,defenders,ರಕ್ಷಣಾ ಸಿಬ್ಬಂದಿ,ರಕ್ಷಕರು
209,defenseman,defender,ರಕ್ಷಣಾಧಿಕಾರಿ,ರಕ್ಷಕ
210,defensemen,defenders,ರಕ್ಷಣಾ ಸಿಬ್ಬಂದಿ,ರಕ್ಷಕರು
211,deskman,desk sergeant,ಡೆಸ್ಕ್ ಅಧಿಕಾರಿ,ಮೇಜಿನ ಸಾರ್ಜೆಂಟ್
212,deskmen,desk sergeants,ಡೆಸ್ಕ್ ಅಧಿಕಾರಿಗಳು,ಮೇಜಿನ ಸಾರ್ಜೆಂಟ್ಗಳು
213,discman,portable CD player,ಡಿಸ್ಕ್ಮ್ಯಾನ್,ಪೋರ್ಟಬಲ್ ಸಿಡಿ ಪ್ಲೇಯರ್
214,discmen,portable CD players,ಡಿಸ್ಕ್‌ಮೆನ್,ಪೋರ್ಟಬಲ್ ಸಿಡಿ ಪ್ಲೇಯರ್ಗಳು
215,draftsman,draftsperson,ಚಿತ್ರಕಾರ ತಂತ್ರಜ್ಞ,ಡ್ರಾಫ್ಟ್ ವ್ಯಕ್ತಿ
216,draftsmen,draftspeople,ಚಿತ್ರಕಾರ ತಂತ್ರಜ್ಞರು,ಡ್ರಾಫ್ಟ್ ಜನರು
217,draughtsman,draughtsperson,ನಕ್ಷೆ ಬರಹಗಾರ,ನಕ್ಷೆ ಬರಹ ವ್ಯಕ್ತಿ
218,draughtsmen,draughtspeople,ನಕ್ಷೆ ಬರಹಗಾರರು,ನಕ್ಷೆ ಬರಹ ಜನರು
219,dutchman,netherlander,ಡಚ್ ವ್ಯಕ್ತಿ,ನೆದರ್‌ಲ್ಯಾಂಡ್‌ನ ವ್ಯಕ್ತಿ
220,dutchmen,netherlanders,ಡಚ್ ವ್ಯಕ್ತಿಗಳು,ನೆದರ್‌ಲ್ಯಾಂಡ್‌ನ ವ್ಯಕ್ತಿಗಳು
221,everyman,ordinary person,ಪ್ರತಿಯೊಬ್ಬರೂ,ಸಾಮಾನ್ಯ ವ್ಯಕ್ತಿ
222,everymen,ordinary people,ಎಲ್ಲರೂ,ಸಾಮಾನ್ಯ ಜನರು
223,expressman,expressperson,ಎಕ್ಸ್‌ಪ್ರೆಸ್‌ ಸೇವಕ,ಎಕ್ಸ್‌ಪ್ರೆಸ್‌ ಸಿಬ್ಬಂದಿ
224,expressmen,expresspeople,ಎಕ್ಸ್‌ಪ್ರೆಸ್‌ ಸೇವಕರು,ಎಕ್ಸ್‌ಪ್ರೆಸ್‌ ಸಿಬ್ಬಂದಿ
225,fireman,firefighter,ಅಗ್ನಿಶಾಮಕ ಪುರುಷ,ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ
