non-inclusive,inclusive,Category,non-inclusive (Tamil),inclusive (Tamil)
The firemen responded to the emergency call.,The firefighters responded to the emergency call.,Gender,தீயணைப்பு வீரர்கள் அவசர அழைப்புக்கு பதிலளித்தனர்.,தீயணைப்பு வீரர்கள் அவசர அழைப்புக்கு பதிலளித்தனர்.
The chairman will make the final decision.,The chairperson will make the final decision.,Gender,தலைவர் இறுதி முடிவை எடுப்பார்.,தலைவர் இறுதி முடிவை எடுப்பார்.
The mailman delivers letters every morning.,The mail carrier delivers letters every morning.,Gender,தபால்காரர் தினமும் காலையில் கடிதங்களை வழங்குகிறார்.,அஞ்சல் கேரியர் ஒவ்வொரு காலையிலும் கடிதங்களை வழங்குகிறது.
The freshman orientation will be held next week.,The first-year orientation will be held next week.,Gender,அடுத்த வாரம் புதுமுகம் தேர்வு நடைபெறும்.,முதலாம் ஆண்டுக்கான தேர்வு அடுத்த வாரம் நடைபெறும்.
We need more manpower to finish the task.,We need more workforce to finish the task.,Gender,பணியை முடிக்க அதிக ஆட்கள் தேவை.,பணியை முடிக்க அதிக பணியாளர்கள் தேவை.
The stewardess will assist you with your luggAge.,The flight attendant will assist you with your luggAge.,Gender,பணிப்பெண் உங்கள் லக்கேஜில் உங்களுக்கு உதவுவார்.,விமானப் பணிப்பெண் உங்களின் லக்கேஜில் உங்களுக்கு உதவுவார்.
The janitor should use his keys to open the door.,The janitor should use their keys to open the door.,Gender,கதவைத் திறக்க காவலாளி தனது சாவியைப் பயன்படுத்த வேண்டும்.,காவலாளி கதவைத் திறக்க அவர்களின் சாவியைப் பயன்படுத்த வேண்டும்.
He committed suicide last year.,He died by suicide last year.,Gender,கடந்த ஆண்டு தற்கொலை செய்து கொண்டார்.,இவர் கடந்த ஆண்டு தற்கொலை செய்து கொண்டார்.
The man up attitude is outdated.,The be resilient attitude is more inclusive.,Gender,மனிதனின் மனப்பான்மை காலாவதியானது.,தாங்கும் மனப்பான்மை மிகவும் உள்ளடக்கியது.
The prostitute was arrested.,The sex worker was arrested.,Gender,விபச்சாரி கைது செய்யப்பட்டார்.,பாலியல் தொழிலாளி கைது செய்யப்பட்டார்.
The show girls performed at the event.,The performers took the stAge at the event.,Gender,நிகழ்ச்சியில் பெண்கள் நிகழ்ச்சி நடத்தினர்.,நிகழ்ச்சியில் கலைஞர்கள் மேடையேறினர்.
They are not fit for leadership,Everyone has the potential to lead,Gender,அவர்கள் தலைமைக்கு ஏற்றவர்கள் அல்ல,அனைவருக்கும் தலைமை தாங்கும் திறன் உள்ளது
She’s too bossy,She shows leadership and confidence,Gender,அவள் தலைமைப் பண்புள்ள முதலாளியாவாள்.,அவள் தலைமையையும் நம்பிக்கையையும் காட்டுகிறாள்
He’s too soft to be a leader,Empathy is a strength in leadership,Gender,அவர் ஒரு தலைவராக இருக்க மிகவும் மென்மையானவர்,பச்சாதாபம் என்பது தலைமைத்துவத்தில் ஒரு பலம்
They can’t make rational decisions,Everyone can think critically and make informed choices,Gender,அவர்களால் பகுத்தறிவு முடிவுகளை எடுக்க முடியாது,எல்லோரும் விமர்சன ரீதியாக சிந்திக்கலாம் மற்றும் தகவலறிந்த தேர்வுகளை செய்யலாம்
He’s acting like a girl,Everyone expresses themselves in different ways,Gender,அவர் ஒரு பெண்ணாக நடிக்கிறார்,ஒவ்வொருவரும் வெவ்வேறு வழிகளில் தங்களை வெளிப்படுத்துகிறார்கள்
They don’t look professional,Professionalism comes in many forms,Gender,அவர்கள் தொழில் ரீதியாக பார்க்க மாட்டார்கள்,நிபுணத்துவம் பல வடிவங்களில் வருகிறது
You throw like a girl,You gave it your best  that’s what counts,Gender,நீங்கள் ஒரு பெண்ணைப் போல வீசுகிறீர்கள்,"நீங்கள் உங்கள் சிறந்ததைக் கொடுத்தீர்கள், அதுதான் முக்கியம்"
Too emotional to be in politics,Emotional intelligence is valuable in any role,Gender,அரசியலில் இருக்க மிகவும் உணர்ச்சிவசப்பட்டவர்,எந்தவொரு பாத்திரத்திலும் உணர்ச்சி நுண்ணறிவு மதிப்புமிக்கது
Only men can handle pressure,People of all Genders can thrive under pressure,Gender,ஆண்களால் மட்டுமே அழுத்தத்தை சமாளிக்க முடியும்,அனைத்து பாலின மக்களும் அழுத்தத்தின் கீழ் வளர முடியும்
That’s not manly,Everyone can express themselves authentically,Gender,அது ஆண்மை இல்லை,எல்லோரும் தங்களை உண்மையாக வெளிப்படுத்த முடியும்
Too old to learn this,Learning has no Age limit,Gender,இதைக் கற்றுக்கொள்வதற்கு மிகவும் வயதாகிவிட்டது,கற்றலுக்கு வயது வரம்பு இல்லை
That’s not ladylike,People can behave in the way they feel comfortable,Gender,அது பெண்மை அல்ல,மக்கள் தங்களுக்கு வசதியாக நடந்துகொள்ளலாம்
He’s whipped,He values mutual respect in his relationship,Gender,அவர் சாட்டையால் அடிக்கப்பட்டார்,அவர் தனது உறவில் பரஸ்பர மரியாதையை மதிக்கிறார்
Real men don’t cry,Everyone should feel free to express their emotions,Gender,உண்மையான ஆண்கள் அழுவதில்லை,ஒவ்வொருவரும் தயங்காமல் தங்கள் உணர்வுகளை வெளிப்படுத்த வேண்டும்
They can’t handle tech,Anyone can become tech-savvy with the right support,Gender,அவர்களால் தொழில்நுட்பத்தை கையாள முடியாது,சரியான ஆதரவுடன் எவரும் தொழில்நுட்ப ஆர்வலராக மாறலாம்
That job is not for women,Everyone should be free to pursue any career,Gender,அந்த வேலை பெண்களுக்கு இல்லை,ஒவ்வொருவரும் எந்த தொழிலையும் செய்ய சுதந்திரமாக இருக்க வேண்டும்
Men don’t do caregiving,Anyone can be nurturing and supportive,Gender,ஆண்கள் கவனிப்பு செய்வதில்லை,"யார் வேண்டுமானாலும் வளர்க்கலாம், ஆதரவளிக்கலாம்"
She’s asking for it,Everyone deserves safety and respect,Gender,அவள் அதைக் கேட்கிறாள்,அனைவருக்கும் பாதுகாப்பு மற்றும் மரியாதை தேவை
A nurse must always be compassionate. She should listen to patients...,A healthcare worker must always be compassionate. They should listen to patients...,Gender,ஒரு செவிலியர் எப்போதும் கருணையுடன் இருக்க வேண்டும். நோயாளிகளின் பேச்சைக் கேட்க வேண்டும்...,ஒரு சுகாதார ஊழியர் எப்போதும் கருணையுடன் இருக்க வேண்டும். நோயாளிகளின் பேச்சைக் கேட்க வேண்டும்.
A police officer must act decisively. He should be vigilant...,A law enforcement officer must act decisively. They should be vigilant...,Gender,ஒரு போலீஸ் அதிகாரி தீர்க்கமாக செயல்பட வேண்டும். அவன் உஷாராக இருக்க வேண்டும்...,ஒரு சட்ட அமலாக்க அதிகாரி தீர்க்கமாக செயல்பட வேண்டும். அவர்கள் உஷாராக இருக்க வேண்டும்...
Men are naturally better at math and science.,"Knowledge of math and science is influenced by education, opportunity, and interest—not Gender.",Gender,ஆண்கள் கணிதம் மற்றும் அறிவியலில் இயற்கையாகவே சிறந்தவர்கள்.,"கணிதம் மற்றும் அறிவியலின் அறிவு கல்வி, வாய்ப்பு மற்றும் ஆர்வத்தால் பாதிக்கப்படுகிறது-பாலினம் அல்ல."
Women are naturally more patient than men.,Patience varies among individuals and is not determined by Gender.,Gender,இயற்கையாகவே ஆண்களை விட பெண்கள் அதிக பொறுமை உடையவர்கள்.,பொறுமை என்பது தனிநபர்களிடையே மாறுபடும் மற்றும் பாலினத்தால் தீர்மானிக்கப்படுவதில்லை.
Men should be discourAged from pursuing healthcare.,People of all Genders should be encourAged to pursue healthcare careers.,Gender,ஆண்கள் உடல்நலம் பேணுவதைத் தவிர்க்க வேண்டும்.,அனைத்து பாலின மக்களும் சுகாதாரப் பணிகளைத் தொடர ஊக்குவிக்கப்பட வேண்டும்.
My girlfriend is always supportive.,My partner is always supportive.,Gender,என் காதலி எப்போதும் உறுதுணையாக இருப்பாள்.,எனது பங்குதாரர் எப்போதும் ஆதரவாக இருக்கிறார்.
A life of a showgirl is very glamorous.,A life of a performer is very glamorous and demanding.,Gender,ஒரு காட்சிப் பெண்ணின் வாழ்க்கை மிகவும் கவர்ச்சியானது.,ஒரு நடிகரின் வாழ்க்கை மிகவும் கவர்ச்சியானது மற்றும் கோரமானது.
Someone left her bag.,Someone left their bag.,Gender,யாரோ அவள் பையை விட்டு சென்றான்.,யாரோ தங்கள் பையை விட்டுச் சென்றனர்.
He is a natural leader.,They are a natural leader.,Gender,அவர் ஒரு இயல்பான தலைவர்.,அவர்கள் இயற்கையான தலைவர்.
A policeman arrested the thief last night.,A police officer arrested the thief last night.,Gender,நேற்று இரவு ஒரு போலீஸ்காரர் திருடனை கைது செய்தார்.,நேற்றிரவு ஒரு போலீஸ்காரர் திருடனை கைது செய்தார்.
"Statistically, men are more likely to be successful than women.","Success is influenced by opportunity and support, not Gender.",Gender,"புள்ளிவிவரங்களின்படி, பெண்களை விட ஆண்கள் வெற்றி பெறுவதற்கான வாய்ப்புகள் அதிகம்.","வெற்றி வாய்ப்பு மற்றும் ஆதரவால் பாதிக்கப்படுகிறது, பாலினம் அல்ல."
A good policeman must be brave.,A good police officer must be compassionate and brave.,Gender,ஒரு நல்ல காவலர் தைரியமாக இருக்க வேண்டும்.,ஒரு நல்ல போலீஸ் அதிகாரி இரக்கமும் தைரியமும் கொண்டவராக இருக்க வேண்டும்.
"A strong leader is assertive, while a caring person is nurturing.","A strong leader is assertive, and a caring person is compassionate—traits not limited by Gender.",Gender,"ஒரு வலுவான தலைவர் உறுதியானவர், அதே நேரத்தில் அக்கறையுள்ள நபர் வளர்க்கிறார்.","ஒரு வலுவான தலைவர் உறுதியானவர், மேலும் அக்கறையுள்ள நபர் இரக்கமுள்ளவர் - பாலினத்தால் வரையறுக்கப்படாத பண்புகள்."
Boys are more logical; girls are better at emotions.,"Abilities in logic and emotion vary by individual, not Gender.",Gender,சிறுவர்கள் அதிக தர்க்கரீதியானவர்கள்; பெண்கள் உணர்ச்சிகளில் சிறந்தவர்கள்.,"தர்க்கம் மற்றும் உணர்ச்சியின் திறன்கள் பாலினத்தைப் பொறுத்து அல்ல, தனிப்பட்ட நபரைப் பொறுத்து மாறுபடும்."
"Most CEOs are men, most homemakers are women.",Successful CEOs and homemakers come from all Genders.,Gender,"பெரும்பாலான CEO க்கள் ஆண்கள், பெரும்பாலான இல்லத்தரசிகள் பெண்கள்.",வெற்றிகரமான CEO க்கள் மற்றும் இல்லத்தரசிகள் எல்லா பாலினங்களிலிருந்தும் வந்தவர்கள்.
Women are always too sensitive.,People of all Gender identities can be sensitive due to diverse life experiences.,Gender,பெண்கள் எப்போதும் மிகவும் உணர்திறன் உடையவர்கள்.,அனைத்து பாலின அடையாளங்களையும் கொண்டவர்கள் பல்வேறு வாழ்க்கை அனுபவங்கள் காரணமாக உணர்திறன் உடையவர்களாக இருக்கலாம்.
The prostitute’s body was found dead in an alley.,"The persons body was found in an alley, a victim deserving dignity and justice.",Gender,விபச்சாரியின் உடல் ஒரு சந்தில் இறந்து கிடந்தது.,கண்ணியத்திற்கும் நீதிக்கும் தகுதியான நபரின் உடல் ஒரு சந்தில் கண்டெடுக்கப்பட்டது.
Girls aren’t good at science.,Girls and boys are equally capable of excelling in science.,Gender,பெண்கள் அறிவியலில் நல்லவர்கள் அல்ல.,பெண்களும் ஆண் குழந்தைகளும் அறிவியலில் சிறந்து விளங்கும் திறன் கொண்டவர்கள்.
Boys are bad at expressing emotions.,"All individuals express emotions differently, regardless of Gender.",Gender,உணர்ச்சிகளை வெளிப்படுத்துவதில் சிறுவர்கள் மோசமானவர்கள்.,பாலினத்தைப் பொருட்படுத்தாமல் எல்லா நபர்களும் வெவ்வேறு விதமாக உணர்ச்சிகளை வெளிப்படுத்துகிறார்கள்.
He is responsible.,They are responsible.,Gender,அவர் பொறுப்பு.,அவர்கள் பொறுப்பு.
She should arrive soon.,They should arrive soon.,Gender,அவள் சீக்கிரம் வரவேண்டும்.,அவர்கள் விரைவில் வரவேண்டும்.
He/She needs to check in.,They need to check in.,Gender,அவன்/அவள் செக்-இன் செய்ய வேண்டும்.,அவர்கள் செக்-இன் செய்ய வேண்டும்.
"If he or she is late, notify us.","If they are late, notify us.",Gender,"அவர் தாமதமாக வந்தால், எங்களுக்குத் தெரிவிக்கவும்.","அவர்கள் தாமதமாக வந்தால், எங்களுக்குத் தெரிவிக்கவும்."
He/She is an excellent leader.,They are an excellent leader.,Gender,அவன்/அவள் ஒரு சிறந்த தலைவர்.,அவர்கள் ஒரு சிறந்த தலைவர்.
Each student should bring his or her ID.,Each student should bring their ID.,Gender,ஒவ்வொரு மாணவரும் அவரவர் அடையாள அட்டையைக் கொண்டு வர வேண்டும்.,ஒவ்வொரு மாணவரும் தங்களின் அடையாள அட்டையைக் கொண்டு வர வேண்டும்.
A doctor must care for his/her patients.,A doctor must care for their patients.,Gender,ஒரு மருத்துவர் தனது நோயாளிகளை கவனிக்க வேண்டும்.,ஒரு மருத்துவர் தங்கள் நோயாளிகளைக் கவனிக்க வேண்டும்.
The teacher gave his or her opinion.,The teacher gave their opinion.,Gender,ஆசிரியர் தனது கருத்தை தெரிவித்தார்.,ஆசிரியர் தங்கள் கருத்தை தெரிவித்தார்.
He/She can sign here.,They can sign here.,Gender,அவர்/அவள் இங்கே கையெழுத்திடலாம்.,அவர்கள் இங்கே கையெழுத்திடலாம்.
A nurse should always be kind; she cares for her patients.,A nurse should always be kind; they care for their patients.,Gender,ஒரு செவிலியர் எப்போதும் அன்பாக இருக்க வேண்டும்; அவள் நோயாளிகளை கவனித்துக்கொள்கிறாள்.,ஒரு செவிலியர் எப்போதும் அன்பாக இருக்க வேண்டும்; அவர்கள் தங்கள் நோயாளிகளை கவனித்துக்கொள்கிறார்கள்.
A police officer must be brave; he defends the public.,A police officer must be brave; they defend the public.,Gender,ஒரு போலீஸ் அதிகாரி தைரியமாக இருக்க வேண்டும்; அவர் பொதுமக்களைப் பாதுகாக்கிறார்.,ஒரு போலீஸ் அதிகாரி தைரியமாக இருக்க வேண்டும்; அவர்கள் பொதுமக்களைப் பாதுகாக்கிறார்கள்.
A kindergarten teacher loves children; she nurtures them well.,A kindergarten teacher loves children; they nurture children well.,Gender,ஒரு மழலையர் பள்ளி ஆசிரியர் குழந்தைகளை நேசிக்கிறார்; அவள் அவர்களை நன்றாக வளர்க்கிறாள்.,ஒரு மழலையர் பள்ளி ஆசிரியர் குழந்தைகளை நேசிக்கிறார்; அவர்கள் குழந்தைகளை நன்றாக வளர்க்கிறார்கள்.
A pilot must be confident; he must make quick decisions.,A pilot must be confident; they must make quick decisions.,Gender,ஒரு விமானி நம்பிக்கையுடன் இருக்க வேண்டும்; அவர் விரைவான முடிவுகளை எடுக்க வேண்டும்.,ஒரு விமானி நம்பிக்கையுடன் இருக்க வேண்டும்; அவர்கள் விரைவான முடிவுகளை எடுக்க வேண்டும்.
A hairstylist is creative; she helps clients look their best.,A hairstylist is creative; they help clients look their best.,Gender,ஒரு சிகையலங்கார நிபுணர் படைப்பு; வாடிக்கையாளர்களை சிறந்த முறையில் பார்க்க உதவுகிறார்.,ஒரு சிகையலங்கார நிபுணர் படைப்பு; அவர்கள் வாடிக்கையாளர்களை சிறந்த முறையில் பார்க்க உதவுகிறார்கள்.
A truck driver needs stamina; he drives long hours.,A truck driver needs stamina; they drive long hours.,Gender,ஒரு டிரக் டிரைவருக்கு சகிப்புத்தன்மை தேவை; அவர் நீண்ட நேரம் ஓட்டுகிறார்.,ஒரு டிரக் டிரைவருக்கு சகிப்புத்தன்மை தேவை; அவர்கள் நீண்ட நேரம் ஓட்டுகிறார்கள்.
A therapist listens patiently; she understands emotional needs.,A therapist listens patiently; they understand emotional needs.,Gender,ஒரு சிகிச்சையாளர் பொறுமையாகக் கேட்கிறார்; அவள் உணர்ச்சி தேவைகளை புரிந்துகொள்கிறாள்.,ஒரு சிகிச்சையாளர் பொறுமையாகக் கேட்கிறார்; அவர்கள் உணர்ச்சி தேவைகளை புரிந்துகொள்கிறார்கள்.
A firefighter must be alert; he responds to emergencies.,A firefighter must be alert; they respond to emergencies.,Gender,ஒரு தீயணைப்பு வீரர் எச்சரிக்கையாக இருக்க வேண்டும்; அவர் அவசரநிலைக்கு பதிலளிக்கிறார்.,ஒரு தீயணைப்பு வீரர் எச்சரிக்கையாக இருக்க வேண்டும்; அவர்கள் அவசரநிலைக்கு பதிலளிக்கிறார்கள்.
A secretary manAges the schedule; she handles all the calls.,A secretary manAges the schedule; they handle all the calls.,Gender,ஒரு செயலாளர் அட்டவணையை நிர்வகிக்கிறார்; அவள் எல்லா அழைப்புகளையும் கையாளுகிறாள்.,ஒரு செயலாளர் அட்டவணையை நிர்வகிக்கிறார்; அவர்கள் அனைத்து அழைப்புகளையும் கையாளுகிறார்கள்.
An engineer solves problems; he applies scientific principles.,An engineer solves problems; they apply scientific principles.,Gender,ஒரு பொறியாளர் பிரச்சனைகளை தீர்க்கிறார்; அவர் அறிவியல் கொள்கைகளைப் பயன்படுத்துகிறார்.,ஒரு பொறியாளர் பிரச்சனைகளை தீர்க்கிறார்; அவர்கள் அறிவியல் கொள்கைகளைப் பயன்படுத்துகிறார்கள்.
Mankind has always explored space.,Humankind has always explored space.,Gender,மனிதகுலம் எப்போதும் விண்வெளியை ஆராய்ந்து வருகிறது.,மனிதகுலம் எப்போதும் விண்வெளியை ஆராய்ந்தது.
The workmanship on this product is excellent.,The quality of work on this product is excellent.,Gender,இந்த தயாரிப்பின் வேலைத்திறன் சிறப்பாக உள்ளது.,இந்த தயாரிப்பு வேலையின் தரம் சிறந்தது.
Can you man the phones this evening?,Can you attend the phones this evening?,Gender,இன்று மாலை நீங்கள் தொலைபேசியை இயக்க முடியுமா?,இன்று மாலை தொலைபேசியில் கலந்து கொள்ள முடியுமா?
This is a man-made fiber.,This is a synthetic fiber.,Gender,இது மனிதனால் உருவாக்கப்பட்ட இழை.,இது ஒரு செயற்கை இழை.
"Welcome ladies and gentlemen, boys and girls",Welcome everyone,Gender,"பெண்கள் மற்றும் ஆண்களே, சிறுவர்கள் மற்றும் பெண்கள் வரவேற்கிறோம்",அனைவரையும் வரவேற்கிறோம்
He ate their lunch because he was hungry.,They ate their lunch because they were hungry.,Gender,அவர் பசியால் அவர்களின் மதிய உணவை சாப்பிட்டார்.,அவர்கள் பசியால் மதிய உணவை சாப்பிட்டார்கள்.
She ate their lunch because she was hungry.,They ate their lunch because they were hungry.,Gender,அவள் பசியால் அவர்களின் மதிய உணவை சாப்பிட்டாள்.,அவர்கள் பசியால் மதிய உணவை சாப்பிட்டார்கள்.
A male scientist discovered a groundbreaking theory.,A scientist discovered a groundbreaking theory.,Gender,ஒரு ஆண் விஞ்ஞானி ஒரு அற்புதமான கோட்பாட்டைக் கண்டுபிடித்தார்.,ஒரு விஞ்ஞானி ஒரு அற்புதமான கோட்பாட்டைக் கண்டுபிடித்தார்.
A female nurse helped in the emergency room.,A nurse helped in the emergency room.,Gender,அவசர சிகிச்சைப் பிரிவில் ஒரு பெண் செவிலியர் உதவி செய்தார்.,ஒரு செவிலியர் அவசர அறையில் உதவினார்.
"If an applicant is not satisfied with the Court’s decision, he may lodge an appeal",An applicant who is not satisfied with the Court’s decision may lodge an appeal.,Gender,"ஒரு விண்ணப்பதாரர் நீதிமன்றத்தின் தீர்ப்பில் திருப்தி அடையவில்லை என்றால், அவர் மேல்முறையீடு செய்யலாம்",நீதிமன்றத்தின் தீர்ப்பில் திருப்தி அடையாத விண்ணப்பதாரர் மேல்முறையீடு செய்யலாம்.
An official’s salary is dependent on his length of service.,An official’s salary is dependent on length of service,Gender,ஒரு அதிகாரியின் சம்பளம் அவரது சேவையின் நீளத்தைப் பொறுத்தது.,ஒரு அதிகாரியின் சம்பளம் சேவையின் நீளத்தைப் பொறுத்தது
The staff member should send the relevant documents to his supervisor.,The relevant documents should be sent to one’s supervisor.,Gender,பணியாளர் தனது மேற்பார்வையாளருக்கு உரிய ஆவணங்களை அனுப்ப வேண்டும்.,தொடர்புடைய ஆவணங்கள் ஒருவரின் மேற்பார்வையாளருக்கு அனுப்பப்பட வேண்டும்.
You throw like a girl.,You do not throw well.,Gender,நீங்கள் ஒரு பெண்ணைப் போல வீசுகிறீர்கள்.,நீங்கள் நன்றாக வீசவில்லை.
"Paul’s ladylike handshake did not impress his new boss, who believes salespeople need a firm handshake.","Paul’s handshake did not impress his new boss, who believes salespeople need a firm handshake.",Gender,"பாலின் பெண் போன்ற கைகுலுக்கல் அவரது புதிய முதலாளியை ஈர்க்கவில்லை, அவர் விற்பனையாளர்களுக்கு உறுதியான ஹேண்ட்ஷேக் தேவை என்று நம்புகிறார்.","பால் கைகுலுக்கியது அவரது புதிய முதலாளியை ஈர்க்கவில்லை, அவர் விற்பனையாளர்களுக்கு உறுதியான ஹேண்ட்ஷேக் தேவை என்று நம்புகிறார்."
The ship slipped her moorings.,The ship slipped its moorings,Gender,கப்பல் நழுவியது.,கப்பல் நழுவியது
Delegates are free to make presentations in their mother tongues and translations will be provided.,Delegates are free to make presentations in their native languAges and translations will be provided.,Gender,பிரதிநிதிகள் தங்கள் தாய்மொழிகளில் விளக்கக்காட்சிகளைச் செய்ய இலவசம் மற்றும் மொழிபெயர்ப்புகள் வழங்கப்படும்.,பிரதிநிதிகள் தங்கள் தாய்மொழிகளில் விளக்கக்காட்சிகளைச் செய்ய இலவசம் மற்றும் மொழிபெயர்ப்புகள் வழங்கப்படும்.
"Last month, France and her citizens woke up to heavy snowfall.","Last month, France and its citizens woke up to snowfall",Gender,"கடந்த மாதம், கடுமையான பனிப்பொழிவு காரணமாக பிரான்சும் அதன் குடிமக்களும் எழுந்தனர்.","கடந்த மாதம், பிரான்சும் அதன் குடிமக்களும் பனிப்பொழிவால் எழுந்தனர்"
Fire is man’s greatest invention,Fire is humanity’s greatest invention,Gender,நெருப்பு மனிதனின் மிகப்பெரிய கண்டுபிடிப்பு,நெருப்பு மனிதகுலத்தின் மிகப்பெரிய கண்டுபிடிப்பு
"Under the law, all men are equal","Under the law, all people are equal.",Gender,"சட்டப்படி, எல்லா ஆண்களும் சமம்","சட்டத்தின் கீழ், அனைத்து மக்களும் சமம்."
Manmade fabrics can actually require less manpower to produce than natural fabrics.,Synthetic fabrics can actually require fewer human resources to produce than natural fabrics.,Gender,இயற்கையான துணிகளை விட மனிதனால் உருவாக்கப்பட்ட துணிகளுக்கு produce க்கு குறைந்த மனித சக்தி தேவைப்படும்.,செயற்கை துணிகள் உண்மையில் இயற்கையான துணிகளை விட குறைவான மனித வளங்கள்கள் உற்பத்தி செய்ய வேண்டும்.
"The forefathers of today’s villAgers used the same methods for catching fish as today’s 
villAgers.",The ancestors of today’s villAgers used the same methods for catching fish as today’s villAgers.,Gender,"இன்றைய கிராமவாசிகளின் முன்னோர்கள் இன்று மீன் பிடிப்பதற்கு அதே methods ஐப் பயன்படுத்தினர். 
கிராமவாசிகள்.","இன்றைய கிராமவாசிகளின் முன்னோர்கள், இன்றைய கிராமவாசிகள் மீன் பிடிக்கும் அதே முறைகளையே பயன்படுத்தினர்."
Are you really a male?,"What pronouns do you use, if you're comfortable sharing?",Gender,நீங்கள் உண்மையில் ஒரு ஆணா?,"நீங்கள் பகிர்ந்து கொள்ள வசதியாக இருந்தால், என்ன பிரதிபெயர்களைப் பயன்படுத்துகிறீர்கள்?"
Men who are not aggressive and/or assertive are unmanly and likely gay,This stereotype is harmful and false. Masculinity and sexual orientation are not defined by personality traits.,Gender,ஆக்கிரமிப்பு மற்றும்/அல்லது உறுதியான தன்மை இல்லாத ஆண்கள் ஆண்மையற்ற மற்றும் வாய்ப்புள்ள ஓரின சேர்க்கையாளர்கள்,இந்த ஸ்டீரியோடைப் தீங்கு விளைவிக்கும் மற்றும் தவறானது. ஆண்மை மற்றும் பாலியல் நோக்குநிலை ஆகியவை ஆளுமைப் பண்புகளால் வரையறுக்கப்படவில்லை.
All of our repos still use the master branch like we always have.,"We’ve updated all our repositories to use main as the default branch name, supporting more inclusive terminology in our workflows",Gender,எங்களுடைய எல்லா களஞ்சியசாலைகளும் எப்பொழுதும் போலவே முதன்மைக் கிளையைப் பயன்படுத்துகின்றன.,"எங்கள் பணிப்பாய்வுகளில் மேலும் உள்ளடங்கிய சொற்களை ஆதரிக்கும் வகையில், இயல்புநிலை கிளைப் பெயராக முதன்மையைப் பயன்படுத்த, எங்களின் அனைத்து களஞ்சியங்களையும் புதுப்பித்துள்ளோம்."
Man the booth during the event.,Staff the booth during the event.,Gender,நிகழ்வின் போது மேன் தி சாவடி.,நிகழ்வின் போது சாவடி ஊழியர்கள்.
