non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
The stewardess will assist you with your luggAge.,The flight attendant will assist you with your luggAge.,Gender,ವ್ಯವಸ್ಥಾಪಕಿ ನಿಮ್ಮ ಸಾಮಾನು ಸರಂಜಾಮುಗಳೊಂದಿಗೆ ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾಳೆ.,ವ್ಯವಸ್ಥಾಪಕರು ನಿಮ್ಮ ಸಾಮಾನು ಸರಂಜಾಮುಗಳೊಂದಿಗೆ ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.
The janitor should use his keys to open the door.,The janitor should use their keys to open the door.,Gender,ಬಾಗಿಲು ತೆರೆಯಲು ದ್ವಾರಪಾಲಕನು ತನ್ನ ಕೀಲಿಗಳನ್ನು ಬಳಸಬೇಕು.,ಬಾಗಿಲು ತೆರೆಯಲು ದ್ವಾರಪಾಲಕರು ತಮ್ಮ ಕೀಲಿಗಳನ್ನು ಬಳಸಬೇಕು.
He committed suicide last year.,He died by suicide last year.,Gender,ಕಳೆದ ವರ್ಷ ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡಿದ್ದನು.,ಕಳೆದ ವರ್ಷ ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡಿದ್ದರು.
The man up attitude is outdated.,The be resilient attitude is more inclusive.,Gender,ಮ್ಯಾನ್ ಅಪ್ ಆಟಿಟ್ಯೂಡ್ ಹಳತಾಗಿದೆ.,ಚೇತರಿಸಿಕೊಳ್ಳುವ ಮನೋಭಾವವು ಹೆಚ್ಚು ಅಂತರ್ಗತವಾಗಿರುತ್ತದೆ.
The prostitute was arrested.,The sex worker was arrested.,Gender,ವೇಶ್ಯೆಯನ್ನು ಬಂಧಿಸಲಾಯಿತು.,ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತರನ್ನು ಬಂಧಿಸಲಾಗಿದೆ
The show girls performed at the event.,The performers took the stAge at the event.,Gender,ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಬಾಲಕಿಯರು ಪ್ರದರ್ಶನ ನೀಡಿದರು.,ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಕಲಾವಿದರು ರಂಗಪ್ರವೇಶ ಮಾಡಿದರು.
They are not fit for leadership,Everyone has the potential to lead,Gender,ಅವರು ನಾಯಕತ್ವಕ್ಕೆ ಯೋಗ್ಯರಲ್ಲ,ಪ್ರತಿಯೊಬ್ಬರಿಗೂ ಮುನ್ನಡೆಸುವ ಸಾಮರ್ಥ್ಯವಿದೆ
She’s too bossy,She shows leadership and confidence,Gender,ಅವಳು ಜಾಸ್ತಿ ಹಕ್ಕು ತೋರಿಸುತ್ತಾಳೆ,ಅವಳು ನಾಯಕತ್ವ ಮತ್ತು ಆತ್ಮವಿಶ್ವಾಸವನ್ನು ತೋರಿಸುತ್ತಾಳೆ
He’s too soft to be a leader,Empathy is a strength in leadership,Gender,ಅವನು ನಾಯಕನಾಗಲು ತುಂಬಾ ಮೃದು,ನಾಯಕತ್ವದಲ್ಲಿ ಪರಾನುಭೂತಿ ಒಂದು ಶಕ್ತಿ
They can’t make rational decisions,Everyone can think critically and make informed choices,Gender,ಅವರು ತರ್ಕಬದ್ಧ ನಿರ್ಧಾರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ,ಪ್ರತಿಯೊಬ್ಬರೂ ವಿಮರ್ಶಾತ್ಮಕವಾಗಿ ಯೋಚಿಸಬಹುದು ಮತ್ತು ತಿಳುವಳಿಕೆಯುಳ್ಳ ಆಯ್ಕೆಗಳನ್ನು ಮಾಡಬಹುದು
He’s acting like a girl,Everyone expresses themselves in different ways,Gender,ಅವನು ಹುಡುಗಿಯಂತೆ ವರ್ತಿಸುತ್ತಾನೆ,ಪ್ರತಿಯೊಬ್ಬರೂ ವಿಭಿನ್ನ ರೀತಿಯಲ್ಲಿ ವ್ಯಕ್ತಪಡಿಸುತ್ತಾರೆ
They don’t look professional,Professionalism comes in many forms,Gender,ಅವರು ವೃತ್ತಿಪರವಾಗಿ ಕಾಣುವುದಿಲ್ಲ,ವೃತ್ತಿಪರತೆ ಹಲವು ರೂಪಗಳಲ್ಲಿ ಬರುತ್ತದೆ
You throw like a girl,You gave it your best  that’s what counts,Gender,ನೀವು ಹುಡುಗಿಯಂತೆ ಎಸೆಯುತ್ತೀರಿ,"ನೀವು ಅದನ್ನು ನಿಮ್ಮ ಅತ್ಯುತ್ತಮವಾಗಿ ನೀಡಿದ್ದೀರಿ, ಅದು ಗಣನೆಗೆ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ"
Too emotional to be in politics,Emotional intelligence is valuable in any role,Gender,ರಾಜಕೀಯದಲ್ಲಿ ಇರಲು ತುಂಬಾ ಭಾವನಾತ್ಮಕವಾಗಿದೆ,ಯಾವುದೇ ಪಾತ್ರದಲ್ಲಿ ಭಾವನಾತ್ಮಕ ಬುದ್ಧಿವಂತಿಕೆ ಮೌಲ್ಯಯುತವಾಗಿದೆ
Only men can handle pressure,People of all Genders can thrive under pressure,Gender,ಪುರುಷರು ಮಾತ್ರ ಒತ್ತಡವನ್ನು ನಿಭಾಯಿಸಬಲ್ಲರು,ಎಲ್ಲಾ ಲಿಂಗಗಳ ಜನರು ಒತ್ತಡದಲ್ಲಿ ಅಭಿವೃದ್ಧಿ ಹೊಂದಬಹುದು
That’s not manly,Everyone can express themselves authentically,Gender,ಅದು ಪುರುಷತ್ವವಲ್ಲ.,ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮನ್ನು ತಾವು ಅಧಿಕೃತವಾಗಿ ವ್ಯಕ್ತಪಡಿಸಬಹುದು
Too old to learn this,Learning has no Age limit,Gender,ಇದನ್ನು ಕಲಿಯಲು ತುಂಬಾ ವಯಸ್ಸಾಗಿದೆ,ಕಲಿಕೆಗೆ ವಯಸ್ಸಿನ ಮಿತಿಯಿಲ್ಲ
That’s not ladylike,People can behave in the way they feel comfortable,Gender,ಅದು ಹೆಂಗಸಿನಂತಲ್ಲ,ಜನರು ಆರಾಮದಾಯಕವಾಗಿ ವರ್ತಿಸಬಹುದು
He’s whipped,He values mutual respect in his relationship,Gender,ಅವನು ಅವಳಿಗ ಬಿದ್ದಿದ್ದಾನೆ.,ಅವನು ತನ್ನ ಸಂಬಂಧದಲ್ಲಿ ಪರಸ್ಪರ ಗೌರವವನ್ನು ಗೌರವಿಸುತ್ತಾನೆ
Real men don’t cry,Everyone should feel free to express their emotions,Gender,ನಿಜವಾದ ಪುರುಷರು ಅಳುವುದಿಲ್ಲ,ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮ ಭಾವನೆಗಳನ್ನು ಮುಕ್ತವಾಗಿ ವ್ಯಕ್ತಪಡಿಸಬೇಕು
They can’t handle tech,Anyone can become tech-savvy with the right support,Gender,ಅವರು ತಂತ್ರಜ್ಞಾನವನ್ನು ನಿಭಾಯಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,ಸರಿಯಾದ ಬೆಂಬಲದೊಂದಿಗೆ ಯಾರಾದರೂ ಟೆಕ್-ಬುದ್ಧಿವಂತರಾಗಬಹುದು
That job is not for women,Everyone should be free to pursue any career,Gender,ಆ ಕೆಲಸ ಮಹಿಳೆಯರಿಗೆ ಅಲ್ಲ,ಪ್ರತಿಯೊಬ್ಬರೂ ಯಾವುದೇ ವೃತ್ತಿಯನ್ನು ಮುಂದುವರಿಸಲು ಸ್ವತಂತ್ರರಾಗಿರಬೇಕು
Men don’t do caregiving,Anyone can be nurturing and supportive,Gender,ಪುರುಷರು ಆರೈಕೆಯನ್ನು ಮಾಡುವುದಿಲ್ಲ,ಯಾರಾದರೂ ಪೋಷಿಸಬಹುದು ಮತ್ತು ಬೆಂಬಲಿಸಬಹುದು
She’s asking for it,Everyone deserves safety and respect,Gender,ಅವಳು ಅದನ್ನು ಕೇಳುತ್ತಾಳೆ,ಪ್ರತಿಯೊಬ್ಬರೂ ಸುರಕ್ಷತೆ ಮತ್ತು ಗೌರವಕ್ಕೆ ಅರ್ಹರು
A nurse must always be compassionate. She should listen to patients...,A healthcare worker must always be compassionate. They should listen to patients...,Gender,ನರ್ಸ್ ಯಾವಾಗಲೂ ಸಹಾನುಭೂತಿಯಾಗಿರಬೇಕು.ರೋಗಿಗಳ ಮಾತು ಕೇಳಬೇಕು...,ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತರು ಯಾವಾಗಲೂ ಸಹಾನುಭೂತಿ ಹೊಂದಿರಬೇಕು.ಅವರು ರೋಗಿಗಳ ಮಾತು ಕೇಳಬೇಕು...
A police officer must act decisively. He should be vigilant...,A law enforcement officer must act decisively. They should be vigilant...,Gender,ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ನಿರ್ಣಾಯಕವಾಗಿ ವರ್ತಿಸಬೇಕು.ಅವನು ಜಾಗರೂಕರಾಗಿರಬೇಕು ...,ಕಾನೂನು ಜಾರಿ ಅಧಿಕಾರಿ ನಿರ್ಣಾಯಕವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸಬೇಕು.ಅವರು ಜಾಗರೂಕರಾಗಿರಬೇಕು...
Men are naturally better at math and science.,"Knowledge of math and science is influenced by education, opportunity, and interest—not Gender.",Gender,ಪುರುಷರು ಸಹಜವಾಗಿ ಗಣಿತ ಮತ್ತು ವಿಜ್ಞಾನದಲ್ಲಿ ಉತ್ತಮರು.,"ಗಣಿತ ಮತ್ತು ವಿಜ್ಞಾನದ ಜ್ಞಾನವು ಶಿಕ್ಷಣ, ಅವಕಾಶ ಮತ್ತು ಆಸಕ್ತಿಯಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ-ಲಿಂಗವಲ್ಲ."
Women are naturally more patient than men.,Patience varies among individuals and is not determined by Gender.,Gender,ಮಹಿಳೆಯರು ಸ್ವಾಭಾವಿಕವಾಗಿ ಪುರುಷರಿಗಿಂತ ಹೆಚ್ಚು ತಾಳ್ಮೆಯಿಂದಿರುತ್ತಾರೆ.,ತಾಳ್ಮೆಯು ವ್ಯಕ್ತಿಗಳಲ್ಲಿ ಬದಲಾಗುತ್ತದೆ ಮತ್ತು ಲಿಂಗದಿಂದ ನಿರ್ಧರಿಸಲ್ಪಡುವುದಿಲ್ಲ.
Men should be discourAged from pursuing healthcare.,People of all Genders should be encourAged to pursue healthcare careers.,Gender,ಪುರುಷರು ಆರೋಗ್ಯ ವೃತ್ತಿಯನ್ನು ಅನುಸರಿಸುವುದನ್ನು ನಿರುತ್ಸಾಹಗೊಳಿಸಬೇಕು.,ಎಲ್ಲಾ ಲಿಂಗಗಳ ಜನರು ಆರೋಗ್ಯ ವೃತ್ತಿಯನ್ನು ಮುಂದುವರಿಸಲು ಪ್ರೋತ್ಸಾಹಿಸಬೇಕು.
My girlfriend is always supportive.,My partner is always supportive.,Gender,ನನ್ನ ಗೆಳತಿ ಯಾವಾಗಲೂ ಬೆಂಬಲಿಸುತ್ತಾಳೆ.,ನನ್ನ ಸಂಗಾತಿ ಯಾವಾಗಲೂ ಬೆಂಬಲ ನೀಡುತ್ತಾರೆ.
A life of a showgirl is very glamorous.,A life of a performer is very glamorous and demanding.,Gender,ಶೋಗರ್ಲ್ ಜೀವನವು ತುಂಬಾ ಮನಮೋಹಕವಾಗಿದೆ.,ಪ್ರದರ್ಶಕರ ಜೀವನವು ತುಂಬಾ ಮನಮೋಹಕ ಮತ್ತು ಬೇಡಿಕೆಯಾಗಿರುತ್ತದೆ.
Someone left her bag.,Someone left their bag.,Gender,ಯಾರೋ ಅವಳ ಚೀಲವನ್ನು ಬಿಟ್ಟರು.,ಯಾರೋ ತಮ್ಮ ಚೀಲವನ್ನು ಬಿಟ್ಟರು.
He is a natural leader.,They are a natural leader.,Gender,ಅವನು ಸಹಜ ನಾಯಕ.,ಅವರು ಸಹಜ ನಾಯಕರು.
A policeman arrested the thief last night.,A police officer arrested the thief last night.,Gender,ನಿನ್ನೆ ರಾತ್ರಿ ಪೊಲೀಸನು ಕಳ್ಳನನ್ನು ಬಂಧಿಸಿದ್ದಾರೆ.,ನಿನ್ನೆ ರಾತ್ರಿ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ಕಳ್ಳನನ್ನು ಬಂಧಿಸಿದ್ದಾರೆ.
"Statistically, men are more likely to be successful than women.","Success is influenced by opportunity and support, not Gender.",Gender,"ಅಂಕಿಅಂಶಗಳ ಪ್ರಕಾರ, ಪುರುಷರು ಮಹಿಳೆಯರಿಗಿಂತ ಹೆಚ್ಚು ಯಶಸ್ವಿಯಾಗುತ್ತಾರೆ.","ಯಶಸ್ಸು ಅವಕಾಶ ಮತ್ತು ಬೆಂಬಲದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ, ಲಿಂಗವಲ್ಲ."
A good policeman must be brave.,A good police officer must be compassionate and brave.,Gender,ಒಳ್ಳೆಯ ಪೋಲೀಸನು ಧೈರ್ಯವಂತನಾಗಿರಬೇಕು.,ಉತ್ತಮ ಪೊಲೀಸ್ ಅಧಿಕಾರಿಯು ಸಹಾನುಭೂತಿ ಮತ್ತು ಧೈರ್ಯಶಾಲಿಯಾಗಿರಬೇಕು.
"A strong leader is assertive, while a caring person is nurturing.","A strong leader is assertive, and a caring person is compassionate—traits not limited by Gender.",Gender,"ಬಲವಾದ ನಾಯಕನು ದೃಢನಿಲುವಿನವನಾಗಿರುತ್ತಾನೆ, ಹಾಗೆಯೇ ಕಾಳಜಿಯುಳ್ಳ ವ್ಯಕ್ತಿಯು ಪೋಷಕಸ್ವಭಾವದವನಾಗಿರುತ್ತಾನೆ.","ಒಬ್ಬ ಬಲವಾದ ನಾಯಕನು ದೃಢವಾದವನಾಗಿರುತ್ತಾನೆ, ಮತ್ತು ಕಾಳಜಿಯುಳ್ಳ ವ್ಯಕ್ತಿಯು ಸಹಾನುಭೂತಿಯುಳ್ಳವನಾಗಿರುತ್ತಾನೆ - ಗುಣಲಕ್ಷಣಗಳು ಲಿಂಗದಿಂದ ಸೀಮಿತವಾಗಿಲ್ಲ."
Boys are more logical; girls are better at emotions.,"Abilities in logic and emotion vary by individual, not Gender.",Gender,ಹುಡುಗರು ಹೆಚ್ಚು ತಾರ್ಕಿಕರಾಗಿದ್ದಾರೆ;ಹುಡುಗಿಯರು ಭಾವನೆಗಳಲ್ಲಿ ಉತ್ತಮರು.,"ತರ್ಕ ಮತ್ತು ಭಾವನೆಗಳಲ್ಲಿನ ಸಾಮರ್ಥ್ಯಗಳು ವ್ಯಕ್ತಿಯಿಂದ ಬದಲಾಗುತ್ತವೆ, ಲಿಂಗವಲ್ಲ."
"Most CEOs are men, most homemakers are women.",Successful CEOs and homemakers come from all Genders.,Gender,"ಹೆಚ್ಚಿನ CEO ಗಳು ಪುರುಷರು, ಹೆಚ್ಚಿನ ಗೃಹಿಣಿಯರು ಮಹಿಳೆಯರು.",ಯಶಸ್ವಿ CEO ಗಳು ಮತ್ತು ಗೃಹಿಣಿಯರು ಎಲ್ಲಾ ಲಿಂಗಗಳಿಂದ ಬರುತ್ತಾರೆ.
Women are always too sensitive.,People of all Gender identities can be sensitive due to diverse life experiences.,Gender,ಮಹಿಳೆಯರು ಯಾವಾಗಲೂ ತುಂಬಾ ಸೂಕ್ಷ್ಮವಾಗಿರುತ್ತಾರೆ.,ಎಲ್ಲಾ ಲಿಂಗ ಗುರುತುಗಳ ಜನರು ವೈವಿಧ್ಯಮಯ ಜೀವನ ಅನುಭವಗಳಿಂದ ಸೂಕ್ಷ್ಮವಾಗಿರಬಹುದು.
The prostitute’s body was found dead in an alley.,"The persons body was found in an alley, a victim deserving dignity and justice.",Gender,ವೇಶ್ಯೆಯ ದೇಹವು ಅಲ್ಲೆಯಲ್ಲಿ ಶವವಾಗಿ ಪತ್ತೆಯಾಗಿದೆ.,"ವ್ಯಕ್ತಿಯ ದೇಹವು ಅಲ್ಲೆಯಲ್ಲಿ ಪತ್ತೆಯಾಗಿದೆ, ಬಲಿಪಶು ಘನತೆ ಮತ್ತು ನ್ಯಾಯಕ್ಕೆ ಅರ್ಹವಾಗಿದೆ."
Girls aren’t good at science.,Girls and boys are equally capable of excelling in science.,Gender,ಹುಡುಗಿಯರು ವಿಜ್ಞಾನದಲ್ಲಿ ಒಳ್ಳೆಯವರಲ್ಲ.,ಹುಡುಗಿಯರು ಮತ್ತು ಹುಡುಗರು ವಿಜ್ಞಾನದಲ್ಲಿ ಸಮಾನವಾಗಿ ಸಮರ್ಥರಾಗಿದ್ದಾರೆ.
Boys are bad at expressing emotions.,"All individuals express emotions differently, regardless of Gender.",Gender,ಭಾವನೆಗಳನ್ನು ತೋರಿಸುವಲ್ಲಿ ಹುಡುಗರು ಅಷ್ಟಾಗಿ ಸಮರ್ಥರಾಗಿರುವುದಿಲ್ಲ.,ಲಿಂಗವನ್ನು ಲೆಕ್ಕಿಸದೆ ಎಲ್ಲಾ ವ್ಯಕ್ತಿಗಳು ವಿಭಿನ್ನವಾಗಿ ಭಾವನೆಗಳನ್ನು ವ್ಯಕ್ತಪಡಿಸುತ್ತಾರೆ.
He is responsible.,They are responsible.,Gender,ಅವನು ಜವಾಬ್ದಾರ.,ಅವರು ಜವಾಬ್ದಾರರು
She should arrive soon.,They should arrive soon.,Gender,ಅವಳು ಬೇಗ ಬರಬೇಕು.,ಅವರು ಬೇಗ ಬರಬೇಕು.
He/She needs to check in.,They need to check in.,Gender,ಅವನು/ಅವಳು ಚೆಕ್ ಇನ್ ಮಾಡಬೇಕಾಗಿದೆ.,ಅವರು ಚೆಕ್ ಇನ್ ಮಾಡಬೇಕಾಗಿದೆ.
"If he or she is late, notify us.","If they are late, notify us.",Gender,"ಅವನು ಅಥವಾ ಅವಳು ತಡವಾದರೆ, ನಮಗೆ ತಿಳಿಸಿ.","ಅವರು ತಡವಾದರೆ, ನಮಗೆ ತಿಳಿಸಿ."
He/She is an excellent leader.,They are an excellent leader.,Gender,ಅವನು/ಅವಳು ಅತ್ಯುತ್ತಮ ನಾಯಕ.,ಅವರು ಅತ್ಯುತ್ತಮ ನಾಯಕರಾಗಿದ್ದಾರೆ.
Each student should bring his or her ID.,Each student should bring their ID.,Gender,ಪ್ರತಿಯೊಬ್ಬ ವಿದ್ಯಾರ್ಥಿಯು ತನ್ನ ಗುರುತಿನ ಚೀಟಿಯನ್ನು ತರಬೇಕು.,ಪ್ರತಿ ವಿದ್ಯಾರ್ಥಿ ತಮ್ಮ ಗುರುತಿನ ಚೀಟಿ ತರಬೇಕು.
A doctor must care for his/her patients.,A doctor must care for their patients.,Gender,ವೈದ್ಯ ತನ್ನ ರೋಗಿಗಳಿಗೆ ಕಾಳಜಿ ವಹಿಸಬೇಕು.,ವೈದ್ಯರು ತಮ್ಮ ರೋಗಿಗಳನ್ನು ನೋಡಿಕೊಳ್ಳಬೇಕು.
The teacher gave his or her opinion.,The teacher gave their opinion.,Gender,ಶಿಕ್ಷಕಿ ತನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದಳು .,ಶಿಕ್ಷಕರು ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದರು.
He/She can sign here.,They can sign here.,Gender,ಅವನು/ಅವಳು ಇಲ್ಲಿ ಸಹಿ ಮಾಡಬಹುದು.,ಅವರು ಇಲ್ಲಿ ಸಹಿ ಮಾಡಬಹುದು.
A nurse should always be kind; she cares for her patients.,A nurse should always be kind; they care for their patients.,Gender,ನರ್ಸ್ ಯಾವಾಗಲೂ ದಯೆಯಿಂದ ಇರಬೇಕು;ಅವಳು ತನ್ನ ರೋಗಿಗಳನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತಾಳೆ.,ನರ್ಸ್ ಯಾವಾಗಲೂ ದಯೆಯಿಂದ ಇರಬೇಕು; ಅವರು ರೋಗಿಗಳ ಆರೈಕೆ ಮಾಡುತ್ತಾರೆ.
A police officer must be brave; he defends the public.,A police officer must be brave; they defend the public.,Gender,ಪೊಲೀಸ್ ಅಧಿಕಾರಿಯು ಧೈರ್ಯವಂತನಾಗಿರಬೇಕು;ಅವನು ಸಾರ್ವಜನಿಕರನ್ನು ರಕ್ಷಿಸುತ್ತಾನೆ.,ಪೊಲೀಸ್ ಅಧಿಕಾರಿಯು ಧೈರ್ಯವಂತನಾಗಿರಬೇಕು;ಅವರು ಸಾರ್ವಜನಿಕರನ್ನು ರಕ್ಷಿಸುತ್ತಾರೆ.
