ID,non-inclusive German,inclusive German
60,Er ist verantwortlich.,Die Person in verantwortlich.
61,Sie sollte bald eintreffen.,Die Person sollte  bald eintreffen.
62,Er muss sich anmelden.,Es muss eingecheckt werden.
63,"Wenn er oder sie zu spät kommt, benachrichtigen Sie uns.","Wenn jemand zu spät kommt, werden wir benachrichtigt."
64,Sie ist eine ausgezeichnete Anführerin.,Die Person ist eine ausgezeichnete Führungskraft.
65,Jeder Schüler sollte seinen Ausweis mitbringen.,"Jede Person die in die Schule geht, sollte einen Ausweis mitbringen."
66,Ein Arzt muss sich um seine Patienten kümmern.,Das ärztliche Personal muss sich um die Patienten kümmern.
67,Der Lehrer äußerte seine Meinung.,Die Lehrkraft äußerte ihre Meinung.
68,Er kann hier unterschreiben.,Hier kann unterschrieben werden.
69,"Eine Krankenschwester sollte immer freundlich sein, sie kümmert sich um ihre Patienten.",Eine Pflegekraft sollte immer freundlich sein und sich um die Patienten kümmern.
70,Ein Polizist muss mutig sein;er verteidigt die Öffentlichkeit.,Die Polizei muss mutig sein; Sie verteidigt die Öffentlichkeit.
71,Eine Kindergärtnerin liebt Kinder; sie pflegt sie gut.,Im Kindergarten werden sind Kinder gut aufgehoben. Sie werden gut erzogen.
72,Ein Pilot muss selbstbewusst sein; er muss schnelle Entscheidungen treffen.,Als luftfahrzeugführende Person muss man selbstbewusst sein; Man muss schnelle Entscheidungen treffen.
73,"Ein Friseur ist kreativ; sie hilft Kunden dabei, optimal auszusehen.","Eine Friseurfachkraft ist kreativ und hilft Menschen dabei, optimal auszusehen."
74,Ein LKW-Fahrer braucht Ausdauer; er fährt viele Stunden.,LKW-Fahrende brauchen Ausdauer; sie fahren viele Stunden.
75,Ein Therapeut hört geduldig zu. Sie versteht emotionale Bedürfnisse.,Die therapeutische Fachkraft hört geduldig und versteht emotionale Bedürfnisse.
76,Ein Feuerwehrmann muss wachsam sein. Er reagiert auf Notfälle.,Die Feuerwehr muss wachsam sein und auf Notfälle reagieren.
77,Eine Sekretärin verwaltet den Zeitplan; sie kümmert sich um alle Anrufe.,Die Verwaltungskraft verwaltet den Zeitplan und kümmert sich um alle Anrufe.
78,Ein Ingenieur löst Probleme; er wendet wissenschaftliche Prinzipien an.,Eine Ingenieurskraft löst Probleme und wendet wissenschaftliche Prinzipien an.
83,"Willkommen, meine Damen und Herren, Jungen und Mädchen",Herzlich Willkommen
84,"Er aß ihr Mittagessen, weil er hungrig war.","Die Person aß zu Mittag, weil sie hungrig war."
85,"Sie aß ihr Mittagessen, weil sie hungrig war.","Die Person aß zu Mittag, weil sie hungrig war."
86,Ein männlicher Wissenschaftler entdeckte eine bahnbrechende Theorie.,Eine wissenschaftliche Fachkraft entdeckte eine bahnbrechende Theorie.
87,Eine Krankenschwester half in der Notaufnahme.,Eine Pflegekraft half in der Notaufnahme.
88,"Ist ein Antragsteller mit der Entscheidung des Gerichts nicht zufrieden, kann er Berufung einlegen","Ist die antragstellende Person mit der Entscheidung des Gerichts nicht zufrieden, kann sie Berufung eingelegen."
89,Das Gehalt eines Beamten richtet sich nach seiner Dienstzeit.,Das Gehalt im Beamtentum richtet sich nach der Dienstzeit.
90,Der Mitarbeiter sollte die entsprechenden Unterlagen an seinen Vorgesetzten senden.,Die entsprechenden Unterlagen sollten an den Vorsitz gesendet werden.
91,Du wirfst wie ein Mädchen.,Du wirfst nicht gut.
92,"Pauls damenhafter Händedruck beeindruckte seinen neuen Chef nicht, der glaubt, dass Verkäufer einen festen Händedruck brauchen.","Der Händedruck beeindruckte die Firmenleitung nicht, die glaubt, dass Verkaufskräfte einen festen Händedruck brauchen."
95,Letzten Monat wachten Frankreich und seine Bürger mit starkem Schneefall auf.,Letzten Monat wachte die französiche Bevölkerung mit Schneefall auf.
96,Feuer ist die größte Erfindung des Menschen,Feuer ist die größte Erfindung der Menschheit.
99,"""Die Vorfahren der heutigen Dorfbewohner verwendeten für den Fischfang die gleichen Methoden wie die heutigen",
100,Sind Sie ein Mann?,Welche Pronomen bevorzugen Sie?
101,"Männer, die nicht aggressiv und/oder durchsetzungsfähig sind, sind unmännlich und wahrscheinlich schwul",Dieses Stereotyp ist schädlich und falsch.Männlichkeit und sexuelle Orientierung werden nicht durch Persönlichkeitsmerkmale definiert.
102,"Alle unsere Repos verwenden immer noch den Master-Zweig, wie wir es immer getan haben.","Wir haben unser gesamtes Repo so aktualisiert, dass sie „main“ als Standardzweignamen verwenden, um eine umfassendere Terminologie in unseren Arbeitsabläufen zu unterstützen"
103,Betreuen Sie den Stand während der Veranstaltung.,Betreuen Sie den Stand während der Veranstaltung.
106,Können Sie morgen früh den Stand besetzen?,Können Sie morgen früh den Stand besetzen?
107,Die Mitarbeiter müssen den Stand 2 Stunden lang betreuen.,Das Personal muss den Stand 2 Stunden lang betreuen.
108,"Sie baten mich, den Informationsstand zu betreuen.","Sie baten mich, den Informationsstand zu betreuen."
109,Der Vorstandsvorsitzende wird morgen zu uns sprechen.,Der Vorstand wird morgen zu uns sprechen.
110,Der beste Mann für den Job wird ausgewählt.,Es wird die beste Person für die Stelle ausgewählt.
112,Er wird am Montag den Helpdesk betreuen.,Der Helpdesk wird am Montag besetzt sein.
113,Der Putzmann kommt gegen Mittag.,Die Reinigungskraft kommt um 12:00 Uhr.
114,"Frauen sind zu emotional, um eine Führungsrolle zu übernehmen.","Führungsqualitäten variieren je nach Person, nicht nach Geschlecht."
115,"Sie ist eine alleinerziehende Mutter, sie muss finanzielle Probleme haben.",Als alleinerziehendes Elternteil hat man viele Pflichten und Herausforderungen zu meistern.
116,Er kommt aus dem Ghetto und muss für Ärger sorgen.,Der persönliche Hintergrund einer Person sagt nichts über deren Charakter aus.
117,Für ein Mädchen spielt sie gut.,Sie spielt außergewöhnlich gut.
119,Sie hat ihn geghostet,Sie reagierte nicht mehr auf seine Nachrichten
121,Sie hatte einen Totalzusammenbruch – sie ist ein echtes Problem.,Sie fühlt sich im Moment überfordert und ängstlich.
124,Dieser Teil der Stadt ist so ein Ghetto.,Dieses Viertel steht vor vielen wirtschaftlichen Herausforderungen.
125,Ich wurde bei diesem Geschäft über den Tisch gezogen.,Bei diesem Geschäft kam es zu einem Betrugsfall.
128,Sie steckten ihn in ein Polizeiauto.,Die Person wurde in ein Polizeiauto gesteckt.
132,Er wurde von seinem Geschäftspartner völlig betrogen.,Bei dem Geschäft kam es zu einem schweren Betrug.
133,Meine Gruppe von Freunden geht etwas trinken.,Meine Freundesgruppe geht etwas trinken.
135,Für diese Rolle brauchen wir einen körperlich starken Kandidaten.,"Wir brauchen einen Kandidaten, der die körperlichen Anforderungen dieser Rolle erfüllt."
136,Der Hausbesitzer beauftragte einen Handwerker mit den Reparaturen.,Die Hausverwaltung beauftragte eine Handwerkskraft für die Reparaturen.
137,Seid ihr Mädels bereit für die Präsentation?,Sind Sie alle bereit für die Präsentation?
138,Das ist eine sehr weibliche Art zu handeln.,Das ist eine sanfte Art zu handeln.
140,"Sie ist zu emotional, um diese Verhandlung zu bewältigen.",Sie könnte diese Verhandlung als eine Herausforderung empfinden.
141,Lassen Sie uns bei diesem Thema nicht hysterisch werden.,Bleiben wir ruhig und konzentrieren wir uns auf dieses Thema.
143,Das ist eine sehr machohafte Einstellung.,Das ist eine sehr durchsetzungsfähige Einstellung.
144,"Wir müssen einen echten Draufgänger finden, keinen mädchenhaften Mann.","Wir müssen eine motivierte Person finden, nicht jemanden, dem es an Tatkraft mangelt."
145,"Wir brauchen einen starken Mann, der diese Kisten im Lager heben kann.","Wir brauchen jemanden mit körperlicher Kraft, um diese Kartons im Lager zu heben."
146,"Die neue Sekretärin sollte gut darin sein, sich Notizen zu machen. Sie soll sich sich um alle Verwaltungsaufgaben kümmern.","Der neue Verwaltungsassistent sollte in der Lage sein, Notizen zu machen und sich um alle Aufgaben kümmern."
147,"Er ist zu mädchenhaft, um das Bauteam zu leiten.","Die Führung im Bauteam hängt von den Fähigkeiten ab, nicht vom Ausdruck des Geschlechts."
148,Unser Unternehmen stellt bevorzugt Männer für technische Positionen ein.,Unser Unternehmen stellt Mitarbeiter auf der Grundlage ihrer Qualifikationen für technische Positionen ein.
149,Die Putzfrau räumt das Büro nach Feierabend auf.,Die Reinigungskraft räumt das Büro nach Feierabend auf.
150,"Ein Lehrer muss fürsorglich sein. Sie hilft den Schülern, sich weiterzuentwickeln.","Lehrer müssen unterstützend sein. Sie helfen den Schülern, sich weiterzuentwickeln."
151,Der Zusteller wird das Paket bis Mittag abgeben.,Jemand vom Lieferdienst wird das Paket bis Mittag abgeben.
152,"Wir brauchen einen starken Mann, der das Engineering-Team leitet.","Wir brauchen einen qualifizierten Leiter, der das Engineering-Team leitet."
153,Die Rezeptionistin sollte mehr lächeln. Sie ist das Gesicht des Büros.,Rezeptionisten sollten professionell sein. Sie repräsentieren die Dienststelle.
154,"Er ist zu feminin, um die Verkaufsabteilung zu leiten.",Sein Führungsstil bringt einzigartige Stärken in die Vertriebsabteilung.
155,Unsere Männer von der IT sind die Besten in der Fehlerbehebung.,Unser IT-Team ist hervorragend bei der Fehlerbehebung.
156,Ein Manager muss entscheidungsfreudig sein. Er gibt die Richtung des Teams vor.,Manager müssen entscheidungsfreudig sein. Sie geben die Richtung des Teams vor.
157,Der Postbote stellt täglich unsere Büropakete zu.,Die Post stellt täglich unsere Büropakete zu.
158,"Männer, lasst uns dieses Problem angehen.",Lasst uns alle dieses Problem angehen.
159,Steh auf und kümmere dich darum.,Steh auf und kümmere dich darum.
160,Das ist Frauensache.,Diese Aufgabe kann jeder erledigen.
161,Die Mädchen in der Buchhaltung sind effizient.,Das Buchhaltungsteam ist effizient.
162,Er ist ein echter Frauenheld.,Er ist sehr beliebt.
163,Du rennst wie ein Mädchen!,Du hast einen einzigartigen Laufstil.
165,Er ist so feminin.,Er hat ein sanftes Auftreten.
166,Bist du ein echter Mann oder eine echte Frau?,Wie identifizieren Sie Ihr Geschlecht?
167,Die Putzfrau ist da.,Die Reinigungskraft ist da.
168,Feuerwehrmann zur Rettung!,Feuerwehr zur Rettung!
169,Der Postbote hat das Paket geliefert.,Die Post hat das Paket geliefert.
170,Der Vorsitzende wird die Bekanntgabe vornehmen.,Der Vorsitz wird die Bekanntgabe vornehmen.
171,Wir müssen mehr Mannmonate einplanen. ,Wir müssen mehr Personal einplanen.
172,Wir brauchen einen starken und durchsetzungsfähigen Mann als Anführer.,Wir brauchen eine starke und effektive Führung.
173,Er sollte über mehr als 10 Jahre Erfahrung im Umgang mit Männern verfügen.,Der ideale Kandidat verfügt über mehr als 10 Jahre Erfahrung in der Leitung von Teams.
174,Er muss ein Teamplayer sein.,Teamplay ist entscheidend.
175,Er ist einer der Jungs.,Die Person wird von allen im Team geschätzt.
176,Sie ist einfach emotional.,Bedenken werden geäußert.
177,Er ist ein echter Draufgänger.,Die Person ist hochmotiviert.
178,Sie ist ein Workaholic.,Die Person arbeitet sehr viel.
179,Wir bieten Mutterschaftsurlaub an.,Wir bieten Elternzeit an.
180,Das ist eine Männerwelt.,Diese Branche entwickelt sich hin zu mehr Inklusion.
183,"Mann, dieser Verkehr ist verrückt!","Wow, dieser Verkehr ist heftig! "
184,Wir machen einen Mädelsabend!,Wir machen einen Gemeinschaftsabend!
185,Lassen Sie uns das noch einmal Revue passieren lassen.,Lassen Sie uns das noch einmal durchgehen.
186,"Er fragte sich, ob ein Arzt hinter diesem Schlamassel steckte und ob er sich melden würde.","Es wird sich zeigen, ob eine ärztliche Fachkraft hinter diesem Schlamassel steckte und ob sie sich zu erkennen geben würde."
187,"Die Leiche der Prostituierten wurde tot, weggeworfen und ungepflegt in einer Gasse aufgefunden.","Eine Frau wurde tot in einer Gasse aufgefunden und die Ermittler arbeiten daran, die Umstände zu klären."
188,Frauen können nicht fahren.,Die Fahrkünste variiert von Person zu Person und hängen nicht vom Geschlecht ab.
189,"Er fühlte sich durch die Anwesenheit des monströsen, muskulösen Mannes bedroht.",Die Anwesenheit der monströsen Person wirkte bedrohlich.
190,"Meine Mutter verbrachte den ganzen Tag damit, für Thanksgiving zu kochen.","Mein Familienmitglied verbrachte den Tag damit, sich auf Thanksgiving vorzubereiten."
191,Er wünschte sich ein Mountainbike. ,Die Person wünschte sich ein Mountainbike.
192,"Melissa verbrachte ihre Tage damit, Lifetime zu schauen und ein Glas Weißwein zu trinken.","Melissa genoss es, bei Filmen und einem Glas Wein zu entspannen."
193,Cheryl konnte schlecht Geld sparen und geriet deshalb in eine Finanzkrise.,"Wer schlecht Geld sparen kann, gerät in eine finanzielle Krise."
194,"Jenny sah erstaunt zu, wie der Weltklasse-Wissenschaftler gerade sprechende Zellen geschaffen hatte.",Es herrschte großes Erstaunen als die renomierte wissenschaftliche Fachkraft sprechende Zellen geschaffen hatte.
195,"Meine Schwester ging kurz vor Weihnachten ins Einkaufszentrum, um ein paar Last-Minute-Einkäufe zu kaufen, und verirrte sich, da sie eine dumme Blondine ist.","Kurz vor Weihnachten ins Einkaufszentrum zu gehen, um ein paar Last-Minute-Einkäufe zu kaufen, kann dazu führen, dass man sich verirrt."
196,Angie konnte keine gute Trainingskleidung in ihrer großen Größe finden.,Für die Person gab es keine gute Trainingskleidung der richtigen Größe.
197,"Er genoss großes Ansehen und war auf dem besten Weg, zum CEO des Unternehmens gewählt zu werden.","Ansehen innerhalb der Firma ist eine gute Voraussetzung, wenn man CEO werden möchte."
198,"Die Familie war nicht überrascht, dass ihr übergewichtiger Sohn sich über seinen Kuchen freuen würde.","Die Familie war nicht überrascht, dass ein Kuchen solche Freude auslösen kann."
199,"Er stellte sich vor, eine schlanke und attraktive Freundin zu haben.","Menschen besitzen unterschiedliche Körpertypen, die allesamt als attraktiv wahrgenommen werden können."
201,Janice wurde von dem großen neuen Mädchen umgehauen.,Die Kraft der großen neuen Person führte zu einem Sturz.
202,"Frauen wissen nicht, wie man im Regen fährt.",Die Fahrkünste werden nicht durch Geschlecht oder Wetter bestimmt.
203,Greta wurde wie ein Objekt und nicht wie ein Mensch behandelt.,Jeder Mensch sollte wie Subjekt und nicht wie ein Objekt behandelt werden.
204,"Sein Auto war völlig durcheinander, genau wie die der Frauen.","Das Auto war völlig durcheinander, vollgestopft mit allerlei Kram."
205,"Denny nahm seinen Ehering ab, damit er nicht im Weg war.",Der Ehering kann bei bestimmten Handlungen hinderlich sein.
206,"Dann ging Tom in einen heruntergekommenen Laden, um eine pornografische Zeitschrift zu kaufen.",In einem heruntergekommenen Laden kann man pornografische Zeitschriften kaufen.
207,"Aber ich konnte nicht aufhören, auf ihre entstellte Nase zu starren.","Mir fiel ein einzigartiges Merkmal an der Nase auf, das meine Aufmerksamkeit erregte."
208,"„Ich bin froh, dass ich nicht da war, denn ich hätte schreckliche Angst gehabt“, sagte Susie.",Vor Ort hätte man schreckliche Angst bekommen.
209,Michael entwickelte Mut und eröffnete bald seine eigene Kunstgalerie.,Eine eigene Kunstgallerie zu eröffnen erfordert Mut.
210,"Frauen sind immer zu empfindlich, wenn es um Dinge geht.",Jeder reagiert anders auf Situationen und emotionaler Ausdruck ist zulässig.
211,Es schnitt ihm einen Teil seines Bartes ab.,Die Haarpflege wurde durchgeführt.
212,Thorn sieht aus wie einer dieser schrecklichen Transmänner.,"Es geht um eine Person, deren Aussehen nicht den allgemeinen Erwartungen entsprach."
213,"Lena war stolz auf ihre Fähigkeit, mehr Avon-Produkte als ihre Kollegen zu verkaufen.","Auf die Fähigkeit, mehr Avon-Produkte zu verkaufen als andere, darf man stolz sein."
214,"Jessica war wegen ihrer Trennung deprimiert und verbrachte die Nacht damit, Eis direkt aus der Tüte zu essen.","Eine Trennung kann dazu führen, dass man deprimiert ist und die Nacht damit verbringt, Eis direkt aus der Tüte zu essen."
215,"Tom war der Schnellste bei der Auslosung und schoss Shannon in die Brust, bevor er seine Waffe heben konnte.","Bei dem Kampf schoß jemand Shannon in die Brust, bevor Shannon bereit war."
216,"Sie las ständig Liebesromane. Sie wartete darauf, dass jemand kam und sie umhauen würde.","Ständig Liebesromane zu lesen, kann dazu führen, dass einen niemand mehr richtig umhauen kann."
217,Große Menschen werden wegen ihrer Faulheit verachtet.,Die Gesellschaft stereotypisiert Menschen oft zu Unrecht aufgrund ihres Aussehens.
218,Als Bodybuilder hielt Jake den 100 Pfund schweren Hund problemlos fest.,"Kraft und viel Training können dabei helfen, einen 100 Pfund schweren Hund problemlos festhalten zu können."
219,Statistisch gesehen sind Männer besser in der Führung.,Führungsfähigkeit hängt von den individuellen Fähigkeiten und Möglichkeiten ab.
220,Der Ingenieur hat einen tollen Job gemacht.,Das Ingenieurswesen hat einen tollen Job gemacht.
221,Eine Sexarbeiterin wurde tot aufgefunden und die Behörden ermitteln.,Die sich prostituierende Person wurde tot aufgefunden und die Behörden ermitteln.
222,Das ist ein Job für einen Mann.,"Dieser Job erfordert Kraft und Geschick, unabhängig vom Geschlecht."
223,"Sie ist zu emotional, um zu führen.",Emotionale Intelligenz ist ein Trumpf in der Führung.
224,Männer sind von Natur aus logischer als Frauen.,Logisches Denken wird nicht durch das Geschlecht bestimmt.
225,"Bewerber müssen in der Lage sein, lange zu arbeiten und keine familiären Verpflichtungen zu haben.","Menschen, die sich bewerben, müssen in der Lage sein, lange zu arbeiten und keine familiären Verpflichtungen zu haben."
226,John und seine Frau werden das Elternseminar leiten.,Zwei Personen werden das Elternseminar leiten.
227,Jeder Vorsitzende sollte den Bericht unterzeichnen.,Der Vorsitz sollte den Bericht unterzeichnen.
228,Ein Verkäufer muss seine Kunden gut kennen.,Eine Verkaufskraft muss seine Kundschaft gut kennen.
229,"Wir brauchen Arbeitskräfte, um dieses Projekt abzuschließen.","Wir brauchen Arbeitskräfte, um dieses Projekt abzuschließen."
230,Der Feuerwehrmann kam rechtzeitig an.,Die Feuerwehr traf rechtzeitig ein.
231,Das muss jeder Student mit seinem Betreuer besprechen.,Das muss jeder Studierende mit seinem Betreuer besprechen.
232,Die Jungs bei dem Treffen hatten tolle Ideen.,Die Teammitglieder bei der Besprechung hatten tolle Ideen.
233,"Wir brauchen einen starken Mann, der diese Aufgabe übernimmt.","Wir brauchen eine starke Person, die diese Aufgabe übernimmt."
234,Lassen Sie uns einen Vorsitzenden für den Ausschuss ernennen.,Lassen Sie uns einen Vorsitz für den Ausschuss ernennen.
235,Ein von Menschenhand geschaffenes Bauwerk wie dieses ist selten.,Ein von Menschenhand geschaffenes Bauwerk wie dieses ist selten.
236,Jede Hausfrau sollte mit Bedacht haushalten.,Jede Person im Haushalt sollte mit Bedacht haushalten.
237,Jeder Mitarbeiter muss seinen Laptop mitbringen.,Alle Angestellten müssen ihren Laptop mitbringen.
238,Der Feuerwehrmann kam zu spät.,Die Feuerwehr kam zu spät.
239,"Sie ist zu emotional, um zu führen.",Als Führungskraft sind Empathie und Einsicht sehr hilfreich.
240,Der Vorsitzende wird es genehmigen.,Der Vorsitz wird es genehmigen.
241,Die Mädchen im Labor können überraschend gut programmieren.,Die Person im Labor hat hervorragende Programmierkenntnisse bewiesen.
242,"Das Projekt erfordert viel Personal, um termingerecht abgeschlossen zu werden.","Um das Projekt termingerecht abzuschließen, ist viel Arbeitskraft erforderlich."
243,Wir müssen unsere Arbeitskräfte für die neue Fabrik erhöhen.,Für die neue Fabrik muss die Belegschaft aufgestockt werden.
244,Der Erfolg der Veranstaltung war der außergewöhnlichen Manpower zu verdanken.,Der Erfolg der Veranstaltung war dem außergewöhnlichen Personal zu verdanken.
245,"Das Militär ist auf starke Arbeitskräfte angewiesen, um den Betrieb aufrechtzuerhalten.","Das Militär ist auf starke Arbeitskräfte angewiesen, um den Betrieb aufrechtzuerhalten."
246,"Das Startup sucht mehr Arbeitskräfte, um seine Dienstleistungen zu erweitern.","Das Startup sucht mehr Arbeitskräfte, um seine Dienstleistungen zu erweitern."
247,Der künstliche See wurde letztes Jahr gebaut.,Der künstliche See wurde letztes Jahr angelegt.
248,Die Kunstfasern in diesem Stoff machen ihn langlebig.,Die Kunstfasern in diesem Stoff machen ihn langlebig.
249,Das Projekt konzentriert sich auf die Reduzierung der vom Menschen verursachten Umweltverschmutzung.,Der Schwerpunkt des Projekts liegt auf der Reduzierung der vom Menschen verursachten Umweltverschmutzung.
250,Künstliche Satelliten umkreisen die Erde.,Künstliche Satelliten umkreisen die Erde.
251,Künstliche Chemikalien sind manchmal schädlich für die Umwelt.,Künstliche Chemikalien sind manchmal schädlich für die Umwelt.
252,Der Vorsitzende wird seine Rede auf der Konferenz halten.,Der Vorsitz wird seine Rede auf der Konferenz halten.
253,Das Komitee wählte John zum neuen Vorsitzenden.,Das Komitee ernennte eine Person zum neuen Vorsitz.
254,"Wenn der Vorsitzende eintrifft, wird ihn sein Assistent über den Zeitplan informieren.","Wenn der Vorsitz eintrifft, wird ihn sein Assistenzkraft über den Zeitplan informieren."
255,Der Vorsitzende bedankte sich bei den Spendern.,"Der Vorsitz bedankte sich bei allen Personen, die gespendet haben."
257,"Hallo Leute, lasst uns mit dem Projekt beginnen.","Hallo Leute, lasst uns mit dem Projekt beginnen."
258,"Leute, können wir uns kurz zu diesem Thema treffen?","Leute, können wir uns kurz zu diesem Thema treffen?"
259,"Danke für eure Hilfe, Kollegen!","Danke für eure Hilfe, Leute!"
260,"Jungs, habt ihr Fragen zur Tagesordnung des Treffens?","Leute, habt ihr Fragen zur Tagesordnung des Treffens?"
